TS Alpha
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Oct 22 15:00   68.00   16.10   35    1007 
   2005 Oct 22 18:00   68.80   16.20   35    1007 
   2005 Oct 22 21:00   68.90   17.00   40    1005 
   2005 Oct 23 00:00   69.50   17.40   40    1005 
   2005 Oct 23 03:00   70.10   17.70   50     998 
   2005 Oct 23 06:00   70.50   17.80   50     998 
   2005 Oct 23 09:00   71.00   18.10   50    1000 
   2005 Oct 23 12:00   71.40   18.40   50    1000 
   2005 Oct 23 15:00   72.50   19.20   35    1002 
   2005 Oct 23 18:00   72.80   19.80   35    1004 
   2005 Oct 23 21:00   72.90   20.60   35    1004 
   2005 Oct 24 03:00   72.90   22.50   35    1004 
   2005 Oct 24 09:00   73.10   24.40   35    1004 
   2005 Oct 24 15:00   72.20   25.90   35    1004 
   2005 Oct 24 21:00   70.00   29.00   35    1004 
