Hurricane Beta
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Oct 27 03:00   81.50   11.10   35    1006 
   2005 Oct 27 06:00   81.70   11.30   35    1006 
   2005 Oct 27 09:00   81.80   11.40   40    1005 
   2005 Oct 27 12:00   81.80   11.50   40    1005 
   2005 Oct 27 15:00   81.30   11.50   50    1000 
   2005 Oct 27 18:00   81.40   11.60   60     997 
   2005 Oct 27 21:00   81.40   11.70   60     997 
   2005 Oct 28 00:00   81.40   11.90   60     997 
   2005 Oct 28 03:00   81.40   12.10   65     994 
   2005 Oct 28 06:00   81.20   12.20   65     994 
   2005 Oct 28 09:00   81.20   12.30   65     994 
   2005 Oct 28 12:00   81.20   12.60   65     993 
   2005 Oct 28 15:00   81.20   12.90   65     993 
   2005 Oct 28 18:00   81.20   13.10   65     993 
   2005 Oct 28 21:00   81.10   13.30   65     990 
   2005 Oct 29 00:00   81.30   13.40   65     990 
   2005 Oct 29 03:00   81.40   13.60   70     989
   2005 Oct 29 06:00   81.50   13.60   75     987
   2005 Oct 29 09:00   81.50   13.70   80     985
   2005 Oct 29 12:00   81.60   13.80   80     984
   2005 Oct 29 15:00   81.70   13.90   85     979
   2005 Oct 29 18:00   82.10   13.90   90     975
   2005 Oct 29 21:00   82.30   13.80   90     979
   2005 Oct 30 00:00   82.60   13.80   90     979
   2005 Oct 30 03:00   82.80   13.70  105     970
   2005 Oct 30 06:00   83.20   13.30  110     965
   2005 Oct 30 09:00   83.40   13.00  115     960
   2005 Oct 30 12:00   83.50   12.90  110     965
   2005 Oct 30 15:00   83.80   12.70   90     980
   2005 Oct 30 18:00   84.00   12.70   75     990
   2005 Oct 30 21:00   84.40   12.70   65     997
   2005 Oct 31 00:00   84.80   12.70   40    1000
   2005 Oct 31 03:00   85.30   12.70   25    1002
