TS Cindy
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Jul 03 21:00   87.10   18.40   35    1009
   2005 Jul 04 00:00   87.20   18.60   35    1007
   2005 Jul 04 03:00   87.50   18.90   35    1006
   2005 Jul 04 06:00   87.80   19.30   35    1006
   2005 Jul 04 09:00   88.10   19.60   35    1007
   2005 Jul 04 15:00   89.20   20.70   30    1010
   2005 Jul 04 21:00   89.20   22.80   35    1010
   2005 Jul 05 00:00   89.50   23.30   35    1009
   2005 Jul 05 03:00   89.70   23.90   35    1009
   2005 Jul 05 06:00   90.00   24.50   35    1009
   2005 Jul 05 09:00   90.40   25.60   40    1002
   2005 Jul 05 12:00   90.40   26.40   45    1002
   2005 Jul 05 15:00   90.40   27.00   50    1002
   2005 Jul 05 18:00   90.40   27.60   60    1000
   2005 Jul 05 21:00   90.30   28.20   70    1000
   2005 Jul 06 00:00   90.30   28.50   70     992
   2005 Jul 06 03:00   90.10   29.00   70     997
   2005 Jul 06 05:00   90.10   29.40   70     998
   2005 Jul 06 07:00   90.00   29.70   65     998
   2005 Jul 06 09:00   89.70   30.10   60     998
   2005 Jul 06 12:00   88.90   30.90   50     992
   2005 Jul 06 15:00   88.40   31.40   35     999
