Hurricane Dennis
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Jul 05 03:00   63.10   12.50   30    1010
   2005 Jul 05 09:00   64.40   12.60   35    1009
   2005 Jul 05 15:00   66.60   13.30   40    1006
   2005 Jul 05 18:00   67.60   13.80   40    1006
   2005 Jul 05 21:00   68.30   14.20   40    1005
   2005 Jul 06 00:00   68.50   14.30   45    1001
   2005 Jul 06 03:00   69.20   14.60   50    1000
   2005 Jul 06 06:00   69.70   14.80   50    1000
   2005 Jul 06 09:00   70.30   15.10   65     994
   2005 Jul 06 12:00   70.80   15.20   65     994
   2005 Jul 06 15:00   71.50   15.40   70     991
   2005 Jul 06 18:00   72.00   15.70   70     991
   2005 Jul 06 21:00   72.50   16.00   65     987
   2005 Jul 06 22:00   72.50   16.10   80     985
   2005 Jul 07 00:00   72.90   16.30   80     984
   2005 Jul 07 03:00   73.40   16.50   85     980
   2005 Jul 07 06:00   74.20   16.70   85     975
   2005 Jul 07 09:00   74.60   17.00   90     970
   2005 Jul 07 12:00   74.90   17.50  105     968
   2005 Jul 07 15:00   75.60   18.00  105     968
   2005 Jul 07 18:00   76.10   18.60  110     962
   2005 Jul 07 21:00   76.60   19.00  115     957
   2005 Jul 08 00:00   77.10   19.40  130     951
   2005 Jul 08 03:00   77.60   19.90  135     950
   2005 Jul 08 06:00   78.50   20.30  135     955
   2005 Jul 08 09:00   79.10   20.70  135     950
   2005 Jul 08 12:00   79.50   20.90  135     950
   2005 Jul 08 15:00   79.90   21.40  150     938
   2005 Jul 08 18:00   80.60   22.10  145     941
   2005 Jul 08 21:00   81.10   22.60  135     949
   2005 Jul 08 23:00   81.40   22.70  125     952
   2005 Jul 09 01:00   81.70   22.80  115     957
   2005 Jul 09 03:00   82.10   23.00  110     962
   2005 Jul 09 05:00   82.30   23.30  110     962
   2005 Jul 09 07:00   82.60   23.50  100     973
   2005 Jul 09 09:00   82.90   23.90   90     972
   2005 Jul 09 11:00   83.20   24.10  105     969
   2005 Jul 09 13:00   83.50   24.40  100     967
   2005 Jul 09 15:00   83.80   24.70  100     967
   2005 Jul 09 17:00   84.00   25.00  100     965
   2005 Jul 09 19:00   84.40   25.50  100     962
   2005 Jul 09 21:00   84.60   25.70  105     955
   2005 Jul 09 23:00   84.90   26.10  115     947
   2005 Jul 10 01:00   85.10   26.30  125     942
   2005 Jul 10 03:00   85.30   26.60  125     941
   2005 Jul 10 05:00   85.60   27.00  135     937
   2005 Jul 10 07:00   85.90   27.40  145     934
   2005 Jul 10 09:00   86.10   27.80  145     932
   2005 Jul 10 11:00   86.20   28.20  145     931
   2005 Jul 10 13:00   86.40   28.70  145     930
   2005 Jul 10 15:00   86.70   29.40  140     930
   2005 Jul 10 17:00   86.90   29.60  135     939
   2005 Jul 10 19:00   87.00   30.20  120     943
   2005 Jul 10 21:00   87.20   30.80  105     950
   2005 Jul 10 23:00   87.50   31.30   80     961
   2005 Jul 11 01:00   87.60   31.70   60     972
   2005 Jul 11 03:00   87.80   32.30   50     980
   2005 Jul 11 09:00   88.30   33.30   35     993
