Hurricane Epsilon
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Nov 29 15:00   50.40   31.60   45     993
   2005 Nov 29 21:00   51.20   31.40   50     993
   2005 Nov 30 03:00   51.90   31.40   50     993
   2005 Nov 30 09:00   52.50   31.20   50     993
   2005 Nov 30 15:00   53.90   30.70   65     993
   2005 Nov 30 21:00   54.20   29.80   70     990
   2005 Dec 01 03:00   53.40   29.60   70     990
   2005 Dec 01 09:00   52.10   30.20   65     994
   2005 Dec 01 15:00   51.60   31.20   65     994
   2005 Dec 01 21:00   51.00   31.70   70     991
   2005 Dec 02 03:00   50.20   32.20   65     992
   2005 Dec 02 09:00   49.40   32.80   65     992
   2005 Dec 02 15:00   48.20   33.70   75     987
   2005 Dec 02 21:00   47.40   34.20   75     987
   2005 Dec 03 03:00   46.60   34.50   75     987
   2005 Dec 03 09:00   45.70   34.60   75     987
   2005 Dec 03 15:00   44.40   34.50   75     987
   2005 Dec 03 21:00   43.10   34.50   80     985
   2005 Dec 04 03:00   41.60   34.30   75     987
   2005 Dec 04 09:00   40.40   34.30   70     990
   2005 Dec 04 15:00   39.20   34.30   85     979
   2005 Dec 04 21:00   38.00   34.30   80     982
   2005 Dec 05 03:00   37.30   34.20   75     985
   2005 Dec 05 09:00   36.20   33.80   75     986
   2005 Dec 05 15:00   35.10   33.60   80     982
   2005 Dec 05 21:00   34.40   33.70   80     982
   2005 Dec 06 03:00   33.80   33.30   75     986
   2005 Dec 06 09:00   33.90   32.90   75     986
   2005 Dec 06 15:00   33.80   31.90   75     987
   2005 Dec 06 21:00   34.50   31.10   75     987
   2005 Dec 07 03:00   35.30   30.30   75     987
   2005 Dec 07 09:00   36.30   29.80   75     987
   2005 Dec 07 15:00   37.90   29.10   75     987
   2005 Dec 07 21:00   38.50   28.30   75     987
   2005 Dec 08 03:00   39.20   27.80   65     994
   2005 Dec 08 09:00   39.60   27.10   40    1005
   2005 Dec 08 15:00   40.30   26.40   35    1006
