TS Gert
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Jul 23 21:00   93.20   19.40   30    1011
   2005 Jul 24 00:00   93.80   19.50   30    1011
   2005 Jul 24 03:00   94.10   19.70   35    1009
   2005 Jul 24 06:00   94.70   19.80   40    1009
   2005 Jul 24 09:00   95.40   21.00   40    1011
   2005 Jul 24 12:00   95.80   21.10   40    1009
   2005 Jul 24 15:00   96.20   21.10   40    1009
   2005 Jul 24 18:00   96.60   21.40   40    1009
   2005 Jul 24 21:00   97.10   21.60   40    1009
   2005 Jul 25 00:00   97.60   21.80   45    1007
   2005 Jul 25 03:00   98.10   22.00   45    1005
   2005 Jul 25 06:00   98.60   22.30   40    1006
   2005 Jul 25 09:00   99.10   22.40   35    1007
   2005 Jul 25 15:00  100.60   22.60   30    1008
