Hurricane Irene
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Aug 04 21:00   34.50   12.70   30    1009
   2005 Aug 05 03:00   35.20   13.00   30    1009
   2005 Aug 05 09:00   36.10   14.40   30    1009
   2005 Aug 05 15:00   37.30   16.40   30    1010
   2005 Aug 05 21:00   39.10   17.00   30    1010
   2005 Aug 06 03:00   40.60   17.60   30    1010
   2005 Aug 06 09:00   41.70   17.70   35    1008
   2005 Aug 06 15:00   42.30   17.90   35    1008
   2005 Aug 06 21:00   43.20   19.00   35    1008
   2005 Aug 07 03:00   44.30   18.90   35    1008
   2005 Aug 07 09:00   44.70   19.60   35    1007
   2005 Aug 07 15:00   45.50   20.50   40    1005
   2005 Aug 07 21:00   46.50   21.10   40    1005
   2005 Aug 08 03:00   47.70   21.50   40    1005
   2005 Aug 08 09:00   48.90   21.90   40    1006
   2005 Aug 08 15:00   50.70   22.40   35    1009
   2005 Aug 08 21:00   51.50   22.50   35    1009
   2005 Aug 09 03:00   52.70   22.60   35    1009
   2005 Aug 09 09:00   53.60   22.50   35    1009
   2005 Aug 09 15:00   53.90   22.30   35    1009
   2005 Aug 09 21:00   54.40   22.60   35    1008
   2005 Aug 10 03:00   55.50   22.40   35    1008
   2005 Aug 10 09:00   57.30   22.40   30    1010
   2005 Aug 10 15:00   57.70   22.40   35    1009
   2005 Aug 10 21:00   58.80   22.80   35    1007
   2005 Aug 11 03:00   59.80   23.50   40    1005
   2005 Aug 11 09:00   61.00   24.20   40    1007
   2005 Aug 11 15:00   62.60   25.10   50    1000
   2005 Aug 11 21:00   63.90   25.70   50    1000
   2005 Aug 12 03:00   64.90   26.40   50    1000
   2005 Aug 12 09:00   65.40   27.60   60     997
   2005 Aug 12 15:00   66.80   28.30   65     994
   2005 Aug 12 21:00   67.50   28.70   70     997
   2005 Aug 13 03:00   68.30   29.20   70     991
   2005 Aug 13 09:00   68.60   30.10   70     997
   2005 Aug 13 15:00   69.20   30.70   70     997
   2005 Aug 13 21:00   69.50   31.20   70     999
   2005 Aug 14 03:00   69.90   32.00   70     997
   2005 Aug 14 09:00   70.30   32.60   65     999
   2005 Aug 14 15:00   69.90   33.60   65     999
   2005 Aug 14 21:00   69.80   34.50   70     992
   2005 Aug 15 03:00   69.20   35.30   80     989
   2005 Aug 15 09:00   68.30   36.10   85     985
   2005 Aug 15 15:00   67.20   36.50   85     985
   2005 Aug 15 21:00   66.00   36.70   90     980
   2005 Aug 16 03:00   64.40   36.60   90     980
   2005 Aug 16 09:00   63.50   36.70   85     983
   2005 Aug 16 15:00   62.40   36.70   85     983
   2005 Aug 16 21:00   61.60   36.50  100     975
   2005 Aug 17 03:00   60.40   36.60   90     978
   2005 Aug 17 09:00   60.10   36.60   85     983
   2005 Aug 17 15:00   58.60   37.10   75     987
   2005 Aug 17 21:00   56.30   38.50   70     990
   2005 Aug 18 03:00   54.50   38.80   70     990
   2005 Aug 18 09:00   51.00   41.30   70     990
   2005 Aug 18 15:00   47.50   45.00   60     992
