TS Jose
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Aug 22 15:00   95.00   19.50   30    1008
   2005 Aug 22 18:00   95.40   19.50   30    1008
   2005 Aug 22 21:00   95.70   19.60   35    1007
   2005 Aug 22 22:15   95.40   19.60   50    1002
   2005 Aug 23 00:00   95.70   19.70   50    1002
   2005 Aug 23 03:00   96.20   19.80   50    1001
   2005 Aug 23 06:00   96.80   19.80   50    1001
   2005 Aug 23 09:00   97.10   19.80   40    1004
   2005 Aug 23 12:00   97.70   19.60   35    1005
   2005 Aug 23 15:00   98.10   19.70   30    1007
