Hurricane Nate
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Sep 05 21:00   67.50   27.80   30    1008 
   2005 Sep 06 03:00   66.80   28.00   40    1005 
   2005 Sep 06 09:00   66.60   28.60   45    1002 
   2005 Sep 06 15:00   66.70   28.70   60     997 
   2005 Sep 06 21:00   66.70   28.70   60     997 
   2005 Sep 07 03:00   66.30   28.80   65     994 
   2005 Sep 07 09:00   66.50   28.80   70     990 
   2005 Sep 07 12:00   66.30   28.80   70     990 
   2005 Sep 07 15:00   66.20   29.20   80     985
   2005 Sep 07 18:00   66.00   29.40   85     980
   2005 Sep 07 21:00   65.80   29.50   85     979
   2005 Sep 08 00:00   65.60   29.60   85     979
   2005 Sep 08 03:00   65.40   29.80   85     979
   2005 Sep 08 06:00   64.80   29.80   85     979
   2005 Sep 08 09:00   64.60   30.20   85     982
   2005 Sep 08 12:00   64.30   30.50   85     982
   2005 Sep 08 15:00   63.20   30.90   85     982
   2005 Sep 08 18:00   62.80   31.40   85     982
   2005 Sep 08 21:00   62.00   31.80   85     982
   2005 Sep 09 03:00   60.20   33.00   90     979
   2005 Sep 09 09:00   58.10   33.60   80     985
   2005 Sep 09 15:00   54.60   34.30   70     988
   2005 Sep 09 21:00   52.10   34.80   65     991
   2005 Sep 10 03:00   49.60   34.80   65     994
   2005 Sep 10 09:00   48.10   34.80   50     997
   2005 Sep 10 15:00   44.80   34.60   45     998
