Hurricane Ophelia
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Sep 06 15:00   78.60   26.50   30    1007 
   2005 Sep 06 18:00   78.60   26.50   30    1007 
   2005 Sep 06 21:00   78.50   26.70   30    1008 
   2005 Sep 07 00:00   78.40   27.00   30    1008 
   2005 Sep 07 03:00   78.50   27.40   35    1008 
   2005 Sep 07 06:00   78.80   27.90   40    1003 
   2005 Sep 07 09:00   78.90   28.30   40    1003 
   2005 Sep 07 12:00   79.20   28.50   45    1003 
   2005 Sep 07 15:00   79.30   28.80   50    1000 
   2005 Sep 07 18:00   79.40   28.80   50     998 
   2005 Sep 07 21:00   79.40   28.90   50     996 
   2005 Sep 08 00:00   79.30   28.80   50     994 
   2005 Sep 08 03:00   79.30   28.90   50     995 
   2005 Sep 08 06:00   79.50   28.70   55     994 
   2005 Sep 08 09:00   79.50   28.70   60     994 
   2005 Sep 08 12:00   79.60   28.70   60     989 
   2005 Sep 08 15:00   79.60   28.60   60     989 
   2005 Sep 08 18:00   79.50   28.60   65     990 
   2005 Sep 08 21:00   79.50   28.60   75     985 
   2005 Sep 09 00:00   79.40   28.60   75     990 
   2005 Sep 09 03:00   79.30   28.70   75     990 
   2005 Sep 09 06:00   79.30   28.90   75     990 
   2005 Sep 09 09:00   79.10   29.30   65     991 
   2005 Sep 09 12:00   79.10   29.30   65     991 
   2005 Sep 09 15:00   78.90   29.50   65     983 
   2005 Sep 09 21:00   78.20   30.00   75     983 
   2005 Sep 10 03:00   77.00   30.40   75     985 
   2005 Sep 10 09:00   76.80   31.20   70     984 
   2005 Sep 10 15:00   76.50   31.60   80     976
   2005 Sep 10 18:00   76.20   31.70   80     977
   2005 Sep 10 21:00   76.20   31.80   80     977
   2005 Sep 11 00:00   75.90   31.80   80     977
   2005 Sep 11 03:00   75.80   31.80   80     978
   2005 Sep 11 06:00   75.90   31.60   80     979
   2005 Sep 11 09:00   75.90   31.70   85     978
   2005 Sep 11 12:00   75.70   31.60   85     979
   2005 Sep 11 15:00   75.70   31.60   80     978
   2005 Sep 11 18:00   75.80   31.60   80     978
   2005 Sep 11 21:00   76.00   31.50   75     978
   2005 Sep 12 00:00   76.20   31.40   75     978
   2005 Sep 12 03:00   76.40   31.10   75     981
   2005 Sep 12 06:00   76.60   31.20   75     983
   2005 Sep 12 09:00   76.70   31.30   75     985
   2005 Sep 12 12:00   76.80   31.40   75     985
   2005 Sep 12 15:00   76.80   31.60   70     989
   2005 Sep 12 18:00   77.30   31.80   70     989
   2005 Sep 12 21:00   77.40   31.80   70     989
   2005 Sep 13 00:00   77.60   31.90   70     988
   2005 Sep 13 03:00   77.90   31.80   70     990
   2005 Sep 13 06:00   77.90   31.90   70     990
   2005 Sep 13 09:00   78.00   32.00   70     990
   2005 Sep 13 12:00   77.80   32.20   70     989
   2005 Sep 13 15:00   78.00   32.30   70     989
   2005 Sep 13 18:00   78.00   32.50   70     989
   2005 Sep 13 21:00   78.10   32.60   70     989
   2005 Sep 13 21:30   78.10   32.60   75     985
   2005 Sep 14 00:00   78.20   32.70   75     985
   2005 Sep 14 03:00   78.00   32.60   75     982
   2005 Sep 14 06:00   77.90   32.80   75     982
   2005 Sep 14 09:00   77.90   33.20   75     980
   2005 Sep 14 12:00   77.80   33.40   80     980
   2005 Sep 14 15:00   77.60   33.70   80     980
   2005 Sep 14 18:00   77.40   33.90   85     979
   2005 Sep 14 21:00   77.20   34.10   85     979
   2005 Sep 14 23:00   76.90   34.20   85     979
   2005 Sep 15 01:00   76.80   34.20   85     979
   2005 Sep 15 03:00   76.50   34.30   85     980
   2005 Sep 15 05:00   76.40   34.40   85     981
   2005 Sep 15 07:00   76.30   34.60   85     982
   2005 Sep 15 09:00   76.10   34.70   85     982
   2005 Sep 15 11:00   75.90   34.80   85     981
   2005 Sep 15 13:00   75.70   34.80   80     984
   2005 Sep 15 15:00   75.70   34.80   80     986
   2005 Sep 15 18:00   75.70   34.70   80     986
   2005 Sep 15 21:00   75.60   34.80   75     987
   2005 Sep 16 00:00   75.10   34.60   70     987
   2005 Sep 16 03:00   74.80   34.50   70     988
   2005 Sep 16 06:00   74.80   34.70   65     995
   2005 Sep 16 09:00   74.80   35.10   65     994
   2005 Sep 16 12:00   74.50   35.40   65     996
   2005 Sep 16 15:00   74.40   35.70   60     996
   2005 Sep 16 18:00   74.10   36.10   60     996
   2005 Sep 16 21:00   73.20   36.80   65     993
   2005 Sep 17 00:00   72.60   37.40   65     993
   2005 Sep 17 03:00   72.20   37.80   65     998
   2005 Sep 17 06:00   71.70   38.30   65     999
   2005 Sep 17 09:00   70.70   39.50   60    1000
   2005 Sep 17 12:00   69.80   39.90   60     999
   2005 Sep 17 15:00   69.00   40.70   60     999
   2005 Sep 17 18:00   68.20   41.30   60     999
   2005 Sep 17 21:00   66.30   42.40   60     998
   2005 Sep 18 00:00   65.10   43.10   55     997
   2005 Sep 18 03:00   63.80   43.90   50     998
