Hurricane Philippe
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Sep 17 15:00   55.00   13.00   35    1008
   2005 Sep 17 21:00   55.20   13.80   35    1007
   2005 Sep 18 03:00   55.20   14.10   40    1005
   2005 Sep 18 09:00   55.50   14.60   45    1003
   2005 Sep 18 15:00   55.70   15.20   50    1000
   2005 Sep 18 21:00   55.90   15.90   50    1000
   2005 Sep 19 03:00   55.90   16.50   75     987
   2005 Sep 19 09:00   56.00   17.10   75     988
   2005 Sep 19 15:00   56.30   17.40   75     988
   2005 Sep 19 21:00   56.50   18.00   75     988
   2005 Sep 20 03:00   56.80   18.30   80     985
   2005 Sep 20 09:00   56.80   18.80   80     985
   2005 Sep 20 15:00   57.10   18.30   75     987
   2005 Sep 20 21:00   57.50   18.80   65     990
   2005 Sep 21 03:00   57.60   19.30   65     994
   2005 Sep 21 09:00   57.50   19.50   65     994
   2005 Sep 21 15:00   57.20   20.20   50    1000
   2005 Sep 21 21:00   57.10   21.20   45    1002
   2005 Sep 22 03:00   57.00   22.40   45    1002
   2005 Sep 22 09:00   57.20   23.30   40    1005
   2005 Sep 22 15:00   57.10   26.20   40    1005
   2005 Sep 22 21:00   57.70   27.50   40    1003
   2005 Sep 23 03:00   58.30   28.80   40    1004
   2005 Sep 23 09:00   60.30   30.50   40    1005
   2005 Sep 23 15:00   63.20   31.10   40    1005
   2005 Sep 23 18:00   63.60   30.50   40    1005
   2005 Sep 23 21:00   64.30   29.90   35    1005
   2005 Sep 24 03:00   64.00   29.00   30    1001
