TS Tammy
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Oct 05 11:30   80.30   28.40   40    1004
   2005 Oct 05 15:00   80.30   28.90   40    1004
   2005 Oct 05 18:00   80.80   29.40   45    1003
   2005 Oct 05 21:00   81.20   30.10   50    1001
   2005 Oct 06 00:00   81.60   30.50   50    1001
   2005 Oct 06 03:00   82.10   30.80   40    1002
   2005 Oct 06 06:00   82.60   31.20   40    1004
   2005 Oct 06 09:00   83.20   31.60   40    1005
   2005 Oct 06 12:00   84.50   31.80   40    1005
   2005 Oct 06 15:00   85.50   31.70   35    1006
