TS Zeta
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Dec 30 17:00   36.90   25.00   50    1003
   2005 Dec 30 21:00   37.30   25.30   50    1000
   2005 Dec 31 03:00   37.50   25.90   50    1000
   2005 Dec 31 09:00   37.70   26.00   60     997
   2005 Dec 31 15:00   38.20   25.90   60     997
   2005 Dec 31 21:00   38.10   25.70   50    1000
   2006 Jan 01 03:00   38.30   25.60   50    1000
   2006 Jan 01 09:00   38.50   25.70   50    1000
   2006 Jan 01 15:00   38.60   25.20   50    1000
   2006 Jan 01 21:00   38.20   25.00   50    1000
   2006 Jan 02 03:00   38.70   24.70   50    1000
   2006 Jan 02 09:00   39.70   24.50   50    1000
   2006 Jan 02 15:00   40.70   23.60   50    1000
   2006 Jan 02 21:00   41.10   23.50   50    1000
   2006 Jan 03 03:00   41.20   23.50   60     997
   2006 Jan 03 09:00   41.30   23.30   65     995
   2006 Jan 03 15:00   42.10   23.00   65     994
   2006 Jan 03 21:00   42.40   23.20   65     994
   2006 Jan 04 03:00   42.70   22.70   65     994
   2006 Jan 04 09:00   43.10   22.10   65     994
   2006 Jan 04 15:00   44.00   21.90   60     997
   2006 Jan 04 21:00   45.00   21.70   50    1000
   2006 Jan 05 03:00   46.00   21.70   40    1004
   2006 Jan 05 09:00   47.00   22.00   35    1005
   2006 Jan 05 15:00   47.60   22.40   40    1005
   2006 Jan 05 21:00   48.20   23.00   40    1007
   2006 Jan 06 03:00   48.70   23.20   40    1007
   2006 Jan 06 09:00   49.30   23.30   40    1007
   2006 Jan 06 15:00   49.90   23.00   35    1009
   2006 Jan 06 21:00   50.30   23.40   30    1009
