TS Florence
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Sep 03 21:00    40.40  14.60   35    1005
   2006 Sep 04 03:00    40.40  14.80   35    1005
   2006 Sep 04 09:00    41.10  15.60   35    1005
   2006 Sep 04 15:00    42.70  16.30   35    1005
   2006 Sep 04 21:00    43.80  16.90   35    1005
   2006 Sep 05 03:00    44.80  17.30   35    1007
   2006 Sep 05 09:00    45.90  17.70   35    1007
   2006 Sep 05 15:00    47.30  17.30   40    1005
   2006 Sep 05 21:00    48.50  17.40   45    1003
   2006 Sep 06 03:00    49.50  17.70   45    1003
   2006 Sep 06 09:00    50.20  18.40   45    1003
   2006 Sep 06 15:00    50.90  18.30   50    1000
   2006 Sep 06 21:00    51.40  19.00   50     999
   2006 Sep 07 03:00    52.50  19.60   50     999
   2006 Sep 07 09:00    53.20  20.10   50     999
   2006 Sep 07 15:00    53.40  19.80   50    1000
   2006 Sep 07 21:00    54.90  20.60   50    1000
   2006 Sep 08 03:00    56.10  21.30   50    1000
   2006 Sep 08 09:00    57.60  22.10   50    1000
   2006 Sep 08 15:00    59.10  23.00   50    1000
   2006 Sep 08 21:00    60.10  23.90   50    1000
   2006 Sep 09 03:00    61.40  24.50   65     994
   2006 Sep 09 09:00    62.80  24.10   65     993
   2006 Sep 09 15:00    63.70  24.70   70     992
   2006 Sep 09 21:00    64.30  25.60   65     992
   2006 Sep 10 03:00    64.90  26.60   65     992
   2006 Sep 10 09:00    65.70  27.70   80     976
   2006 Sep 10 15:00    65.90  28.70   80     976
   2006 Sep 10 21:00    66.20  29.90   90     975
   2006 Sep 11 03:00    66.10  31.00   90     975
   2006 Sep 11 09:00    66.00  31.80   80     976
   2006 Sep 11 15:00    65.60  32.90   90     972
   2006 Sep 11 21:00    64.80  34.40   90     972
   2006 Sep 12 03:00    63.90  35.80   85     974
   2006 Sep 12 09:00    62.40  37.20   75     980
   2006 Sep 12 15:00    61.20  38.20   75     982
   2006 Sep 12 21:00    59.30  39.30   75     980
