Hurricane Isaac
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Sep 27 21:00   53.10   26.50   35    1012
   2006 Sep 28 03:00   53.80   27.20   35    1012
   2006 Sep 28 09:00   54.60   27.80   35    1011
   2006 Sep 28 15:00   54.70   28.20   40    1008
   2006 Sep 28 21:00   54.90   28.90   45    1006
   2006 Sep 29 03:00   55.20   29.20   45    1006
   2006 Sep 29 09:00   55.60   29.20   45    1006
   2006 Sep 29 15:00   56.20   29.40   45    1006
   2006 Sep 29 21:00   56.80   29.70   60    1000
   2006 Sep 30 03:00   57.40   30.10   70     995
   2006 Sep 30 09:00   58.00   30.30   70     995
   2006 Sep 30 15:00   58.70   30.90   75     992
   2006 Sep 30 21:00   59.50   31.60   80     989
   2006 Oct 01 03:00   59.90   32.50   80     989
   2006 Oct 01 09:00   60.10   33.10   85     985
   2006 Oct 01 15:00   60.30   34.40   80     985
   2006 Oct 01 21:00   60.00   36.30   80     985
   2006 Oct 02 03:00   58.80   38.60   75     989
   2006 Oct 02 09:00   58.20   40.50   75     989
   2006 Oct 02 15:00   55.00   44.30   60     994
   2006 Oct 02 21:00   52.20   47.10   60     992
