TS Aletta
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   27 MAY 2006 15:00   101.3   15.1    35    1004
   27 MAY 2006 18:00   100.6   15.5    40    1003
   27 MAY 2006 21:00   100.5   15.6    40    1003
   28 MAY 2006 00:00   100.7   15.8    40    1003
   28 MAY 2006 03:00   101.0   15.7    40    1003
   28 MAY 2006 06:00   100.8   15.3    45    1002
   28 MAY 2006 09:00   101.0   15.4    45    1002
   28 MAY 2006 12:00   101.3   15.5    45    1002
   28 MAY 2006 15:00   101.3   15.5    45    1002
   28 MAY 2006 18:00   101.0   15.6    45    1002
   28 MAY 2006 21:00   101.0   15.8    45    1002
   29 MAY 2006 00:00   101.0   15.9    45    1002
   29 MAY 2006 03:00   101.0   16.0    45    1002
   29 MAY 2006 06:00   101.1   16.1    45    1002
   29 MAY 2006 09:00   101.1   16.2    45    1002
   29 MAY 2006 12:00   101.2   16.2    45    1002
   29 MAY 2006 15:00   101.4   16.0    40    1002
   29 MAY 2006 18:00   101.8   16.0    40    1002
   30 MAY 2006 03:00   102.3   16.0    35    1004
   30 MAY 2006 09:00   102.8   16.0    35    1005
   30 MAY 2006 15:00   103.5   16.0    35    1005
   30 MAY 2006 21:00   103.9   16.4    30    1007
