Hurricane Daniel
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   17 JUL 2006 03:00   109.9   12.4    35    1007
   17 JUL 2006 09:00   111.0   12.4    35    1007
   17 JUL 2006 15:00   112.2   12.4    40    1004
   17 JUL 2006 21:00   112.8   12.4    45    1002
   18 JUL 2006 03:00   114.1   12.3    50    1000
   18 JUL 2006 09:00   115.2   12.2    65     994
   18 JUL 2006 15:00   116.8   12.2    70     990
   18 JUL 2006 21:00   117.6   11.9    75     987
   19 JUL 2006 03:00   118.4   11.9    80     984
   19 JUL 2006 09:00   119.0   11.8    90     975
   19 JUL 2006 15:00   119.6   11.9   100     975
   19 JUL 2006 21:00   120.4   12.0   100     973
   20 JUL 2006 03:00   121.0   12.0   110     962
   20 JUL 2006 09:00   121.9   12.2   115     960
   20 JUL 2006 15:00   122.6   12.5   125     954
   20 JUL 2006 21:00   123.4   12.7   135     948
   21 JUL 2006 03:00   124.3   13.1   140     942
   21 JUL 2006 09:00   125.3   13.2   135     948
   21 JUL 2006 15:00   126.3   13.4   135     948
   21 JUL 2006 21:00   127.4   13.5   145     935
   22 JUL 2006 03:00   128.5   13.6   150     933
   22 JUL 2006 09:00   129.7   13.8   150     933
   22 JUL 2006 15:00   130.8   13.9   150     933
   22 JUL 2006 21:00   131.9   14.0   145     935
   23 JUL 2006 03:00   133.2   14.4   145     935
   23 JUL 2006 09:00   134.6   14.7   135     948
   23 JUL 2006 15:00   135.7   14.9   135     948
   23 JUL 2006 21:00   137.1   15.3   120     952
   24 JUL 2006 03:00   138.7   15.8   110     965
   24 JUL 2006 09:00   139.8   16.1   100     975
   24 JUL 2006 15:00   140.8   16.3    90     980
   24 JUL 2006 21:00   141.8   16.3    90     980
   25 JUL 2006 03:00   142.3   16.1    75     994
   25 JUL 2006 09:00   142.7   16.2    65     999
   25 JUL 2006 15:00   142.6   16.2    50    1003
   25 JUL 2006 21:00   142.8   16.2    40    1004
   26 JUL 2006 03:00   143.1   16.2    35    1006
   26 JUL 2006 09:00   142.9   16.3    35    1008
   26 JUL 2006 15:00   143.3   16.1    35    1009
   26 JUL 2006 21:00   144.1   16.1    35    1009
