Tropical Storm Fabio
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   31 JUL 2006 21:00   122.0   14.2    35    1009
   01 AUG 2006 03:00   123.3   14.5    40    1005
   01 AUG 2006 09:00   124.6   14.8    40    1005
   01 AUG 2006 15:00   125.7   15.0    50    1000
   01 AUG 2006 21:00   127.3   15.0    50    1000
   02 AUG 2006 03:00   128.2   14.7    50    1000
   02 AUG 2006 09:00   129.0   14.7    50    1000
   02 AUG 2006 15:00   131.2   14.9    45    1000
   02 AUG 2006 21:00   132.6   15.1    40    1005
   03 AUG 2006 03:00   134.3   15.3    45    1006
   03 AUG 2006 09:00   135.8   15.2    35    1008
   03 AUG 2006 15:00   137.3   15.1    35    1009
   03 AUG 2006 21:00   138.9   15.0    35    1009
