Tropical Storm Kristy
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   30 AUG 2006 05:00   114.2   16.2    30    1005
   30 AUG 2006 09:00   114.7   16.5    40    1005
   30 AUG 2006 15:00   115.1   16.7    60    1000
   30 AUG 2006 21:00   115.6   17.0    65     994
   2006 Aug 31 09:00   115.70  17.20   70     990
   2006 Aug 31 15:00   116.10  17.60   75     987
   2006 Aug 31 21:00   117.20  18.40   75     987
   2006 Sep 01 03:00   117.80  19.30   75     991
   2006 Sep 01 09:00   118.10  19.30   70     991
   2006 Sep 01 15:00   118.30  19.30   60     997
   2006 Sep 01 21:00   118.70  19.20   50    1000
   2006 Sep 02 03:00   119.10  19.00   45    1003
   2006 Sep 02 09:00   119.00  19.00   45    1003
   2006 Sep 02 15:00   118.90  18.80   40    1005
   2006 Sep 02 21:00   118.60  18.30   35    1005
   2006 Sep 03 03:00   118.20  18.30   35    1009
   2006 Sep 03 09:00   118.10  18.10   35    1009
   2006 Sep 03 15:00   117.90  18.00   35    1009
   2006 Sep 03 21:00   118.10  17.70   40    1005
   2006 Sep 04 03:00   118.40  17.80   40    1006
   2006 Sep 04 09:00   118.60  17.50   35    1007
   2006 Sep 04 15:00   119.00  16.70   35    1007
   2006 Sep 04 21:00   119.30  16.20   35    1007
   2006 Sep 05 03:00   119.80  16.20   35    1007
   2006 Sep 05 09:00   120.50  16.20   35    1007
   2006 Sep 05 15:00   121.50  16.40   40    1005
   2006 Sep 05 21:00   122.80  16.70   45    1002
   2006 Sep 06 03:00   123.90  17.10   40    1004
   2006 Sep 06 09:00   125.20  17.30   40    1005
   2006 Sep 06 15:00   126.90  17.00   40    1005
   2006 Sep 06 21:00   127.90  16.50   35    1007
   2006 Sep 07 03:00   128.70  16.50   35    1007
   2006 Sep 07 09:00   129.60  16.50   30    1008
   2006 Sep 07 15:00   130.20  16.40   30    1008
   2006 Sep 07 21:00   130.30  15.90   30    1009
   2006 Sep 08 03:00   131.30  15.40   30    1009 
