Hurricane Lane
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Sep 13 21:00   101.50  16.00   35    1005
   2006 Sep 14 03:00   102.40  16.60   35    1005
   2006 Sep 14 09:00   102.90  16.90   40    1000
   2006 Sep 14 15:00   104.30  17.50   45     999
   2006 Sep 14 21:00   105.20  17.90   60     997
   2006 Sep 15 03:00   105.30  18.40   60     997
   2006 Sep 15 09:00   106.00  19.10   65     994
   2006 Sep 15 15:00   106.20  19.70   70     990
   2006 Sep 15 21:00   106.30  20.60   80     985
   2006 Sep 16 03:00   106.80  21.70  105     970
   2006 Sep 16 09:00   107.00  22.70  115     960
   2006 Sep 16 15:00   107.10  23.50  125     952
   2006 Sep 16 21:00   107.20  24.40  120     957
   2006 Sep 17 03:00   107.40  25.00   85     983
   2006 Sep 17 09:00   107.40  25.60   50     997
   2006 Sep 17 15:00   107.60  26.30   30    1005
