TS Paul
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Oct 21 09:00   105.90  15.50   35    1004
   2006 Oct 21 15:00   106.90  16.00   40    1001
   2006 Oct 21 21:00   107.40  16.10   50    1000
   2006 Oct 22 03:00   108.00  15.90   50    1000
   2006 Oct 22 09:00   108.90  15.80   50    1000
   2006 Oct 22 15:00   109.10  16.30   50    1000
   2006 Oct 22 21:00   110.70  15.90   65     994
   2006 Oct 23 03:00   111.10  16.10   85     979
   2006 Oct 23 09:00   111.50  16.20  100     973
   2006 Oct 23 15:00   111.50  16.50  110     965
   2006 Oct 23 21:00   111.60  17.00   90     979
   2006 Oct 24 03:00   111.70  17.60   85     980
   2006 Oct 24 09:00   111.40  18.60   80     982
   2006 Oct 24 15:00   112.00  18.90   65     992
   2006 Oct 24 21:00   111.30  20.30   50     999
   2006 Oct 25 03:00   110.50  21.10   45    1003
   2006 Oct 25 09:00   109.90  21.80   45    1003
   2006 Oct 25 15:00   108.80  23.00   45    1001
   2006 Oct 25 21:00   108.10  24.70   30    1007
   2006 Oct 26 03:00   107.80  25.20   30    1008
