TD Two-E
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 JUN 03 15:00   102.8   16.0    30    1005
   2006 JUN 03 21:00   102.3   16.7    35    1005
   2006 JUN 04 00:00   102.2   16.9    35    1005
   2006 JUN 04 03:00   102.2   17.2    35    1005
   2006 JUN 04 06:00   102.0   17.0    35    1005
   2006 JUN 04 09:00   102.0   17.0    35    1005
   2006 JUN 04 12:00   101.9   16.8    35    1005
   2006 JUN 04 15:00   101.7   16.8    30    1007
   2006 JUN 04 18:00   100.1   16.6    30    1008
   2006 JUN 04 21:00   99.8    16.5    30    1008
   2006 JUN 05 00:00   99.2    16.4    30    1007
   2006 JUN 05 03:00   99.0    16.4    25    1008
