TS Arlene
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Jun 08 21:00   84.00   17.20   30    1004
   2005 Jun 09 00:00   84.00   17.40   30    1003
   2005 Jun 09 03:00   83.90   17.60   35    1003
   2005 Jun 09 06:00   83.90   17.80   35    1003
   2005 Jun 09 09:00   83.90   18.60   35    1002
   2005 Jun 09 12:00   84.00   19.10   40    1002
   2005 Jun 09 15:00   84.10   19.40   40    1002
   2005 Jun 09 18:00   84.20   19.80   40    1002
   2005 Jun 09 21:00   84.20   20.20   40    1001
   2005 Jun 10 00:00   84.20   20.40   40    1001
   2005 Jun 10 03:00   84.30   20.80   40    1001
   2005 Jun 10 06:00   84.40   21.10   40    1001
   2005 Jun 10 09:00   84.80   21.60   45    1000
   2005 Jun 10 12:00   84.80   22.60   55    1000
   2005 Jun 10 15:00   84.90   24.00   60    1000
   2005 Jun 10 18:00   85.00   25.00   60     997
   2005 Jun 10 21:00   85.20   25.70   65     997
   2005 Jun 11 00:00   85.60   26.40   70     992
   2005 Jun 11 03:00   86.10   27.10   70     989
   2005 Jun 11 06:00   86.60   27.50   70     989
   2005 Jun 11 09:00   87.10   28.40   70     991
   2005 Jun 11 12:00   87.20   29.00   70     990
   2005 Jun 11 15:00   87.40   29.60   70     990
   2005 Jun 11 18:00   87.50   30.00   60     991
   2005 Jun 11 21:00   87.40   30.70   50     991
   2005 Jun 12 00:00   87.60   31.40   35     994
   2005 Jun 12 03:00   87.60   32.20   30     996
