TS Delta
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Nov 23 21:00   40.50   25.90   60     982
   2005 Nov 24 03:00   40.30   25.30   60     982
   2005 Nov 24 09:00   39.80   24.70   65     980
   2005 Nov 24 15:00   38.80   24.80   70     980
   2005 Nov 24 21:00   38.90   24.60   70     980
   2005 Nov 25 03:00   39.00   23.70   70     980
   2005 Nov 25 09:00   39.30   23.70   65     982
   2005 Nov 25 15:00   39.70   23.20   65     982
   2005 Nov 25 21:00   40.00   23.00   60     984
   2005 Nov 26 03:00   39.80   21.90   60     990
   2005 Nov 26 09:00   39.00   21.90   50     993
   2005 Nov 26 15:00   38.10   22.40   40     997
   2005 Nov 26 21:00   36.70   23.20   40     997
   2005 Nov 27 03:00   34.60   24.20   40     998
   2005 Nov 27 09:00   32.80   25.60   40     993
   2005 Nov 27 15:00   30.80   27.70   50     990
   2005 Nov 27 21:00   28.50   29.00   70     982
   2005 Nov 28 03:00   26.10   29.30   65     985
   2005 Nov 28 09:00   23.30   30.20   65     988
   2005 Nov 28 15:00   20.10   30.30   65     988
