Hurricane Emily
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Jul 11 03:00   42.90   10.80   30    1010 
   2005 Jul 11 09:00   43.60   10.80   35    1010
   2005 Jul 11 15:00   44.70   10.30   35    1008
   2005 Jul 11 21:00   46.00   10.60   35    1008
   2005 Jul 12 03:00   47.00   11.30   45    1003
   2005 Jul 12 09:00   48.60   11.40   45    1003
   2005 Jul 12 15:00   51.30   11.00   50    1000
   2005 Jul 12 18:00   51.90   11.10   50    1000
   2005 Jul 12 21:00   52.80   11.10   50    1000
   2005 Jul 13 00:00   53.70   11.00   50    1000
   2005 Jul 13 03:00   54.70   10.70   60     997 
   2005 Jul 13 06:00   55.50   11.00   60     997 
   2005 Jul 13 09:00   56.30   11.10   60     997 
   2005 Jul 13 12:00   57.20   11.30   60     997 
   2005 Jul 13 15:00   58.10   11.20   60    1003 
   2005 Jul 13 18:00   59.00   11.30   60    1003 
   2005 Jul 13 21:00   59.80   11.40   60    1003 
   2005 Jul 14 00:00   60.60   11.50   60    1000 
   2005 Jul 14 03:00   61.10   11.90   90     992 
   2005 Jul 14 06:00   61.50   12.00   90     991 
   2005 Jul 14 09:00   62.30   12.30   90     991 
   2005 Jul 14 12:00   62.90   12.40   90     991 
   2005 Jul 14 15:00   64.00   12.70  100     976
   2005 Jul 14 18:00   65.00   12.90  110     972
   2005 Jul 14 21:00   65.90   13.30  115     968
   2005 Jul 15 00:00   66.70   13.30  115     962
   2005 Jul 15 03:00   67.50   13.60  125     957
   2005 Jul 15 06:00   68.30   13.70  135     952
   2005 Jul 15 09:00   69.20   13.90  135     952
   2005 Jul 15 12:00   70.00   14.10  135     952
   2005 Jul 15 15:00   70.90   14.40  125     968
   2005 Jul 15 18:00   72.00   14.50  115     969
   2005 Jul 15 21:00   72.80   14.70  105     969
   2005 Jul 16 00:00   73.40   14.90  115     958
   2005 Jul 16 03:00   74.20   15.10  135     954
   2005 Jul 16 06:00   75.00   15.30  135     953
   2005 Jul 16 09:00   75.80   15.60  140     950
   2005 Jul 16 12:00   76.50   15.90  140     947
   2005 Jul 16 15:00   77.30   16.20  145     943
   2005 Jul 16 18:00   78.00   16.40  155     937
   2005 Jul 16 21:00   78.80   16.80  155     937
   2005 Jul 17 00:00   79.50   17.10  155     929
   2005 Jul 17 03:00   80.30   17.50  155     930
   2005 Jul 17 06:00   81.20   17.70  150     943
   2005 Jul 17 09:00   82.00   18.00  150     938
   2005 Jul 17 12:00   82.80   18.30  150     938
   2005 Jul 17 15:00   83.60   18.60  150     946
   2005 Jul 17 18:00   84.40   19.00  145     948
   2005 Jul 17 21:00   85.20   19.40  145     948
   2005 Jul 18 00:00   85.90   19.60  135     951
   2005 Jul 18 03:00   86.50   19.90  135     955
   2005 Jul 18 06:00   87.30   20.30  135     955
   2005 Jul 18 09:00   88.00   20.60  110     962
   2005 Jul 18 12:00   88.90   21.20  100     975
   2005 Jul 18 15:00   89.60   21.80  100     975
   2005 Jul 18 18:00   90.30   22.00   75     984
   2005 Jul 18 21:00   91.00   22.30   75     983
   2005 Jul 19 00:00   91.50   22.60   75     982
   2005 Jul 19 03:00   92.10   22.90   90     983
   2005 Jul 19 06:00   92.90   23.20   90     984
   2005 Jul 19 09:00   93.50   23.50   90     980
   2005 Jul 19 12:00   94.00   23.70   90     977
   2005 Jul 19 15:00   94.50   23.90   90     972
   2005 Jul 19 17:00   94.80   24.00   95     970
   2005 Jul 19 19:00   95.20   24.10  100     959
   2005 Jul 19 21:00   95.60   24.30  100     956
   2005 Jul 19 23:00   96.00   24.50  125     945
   2005 Jul 20 01:00   96.10   24.40  125     948
   2005 Jul 20 03:00   96.40   24.50  125     944
   2005 Jul 20 05:00   96.80   24.50  125     944
   2005 Jul 20 07:00   96.90   24.60  125     944
   2005 Jul 20 09:00   97.20   24.70  125     943
   2005 Jul 20 11:00   97.60   24.80  125     944
   2005 Jul 20 13:00   97.70   24.80  125     945
   2005 Jul 20 15:00   98.10   25.00  105     955
   2005 Jul 20 18:00   98.70   25.00   80     975
   2005 Jul 20 21:00   99.20   25.00   70     975
   2005 Jul 21 00:00   99.70   25.00   50     995
   2005 Jul 21 03:00  100.20   25.00   50    1001
   2005 Jul 21 09:00  101.10   25.00   35    1004
   2005 Jul 21 15:00  101.20   25.00   30    1007
