TS Franklin
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Jul 21 21:00   75.40   25.30   35    1009
   2005 Jul 22 00:00   76.00   25.80   45    1009
   2005 Jul 22 03:00   76.30   26.10   45    1009
   2005 Jul 22 06:00   76.90   26.50   45    1009
   2005 Jul 22 09:00   77.30   26.70   45    1009
   2005 Jul 22 12:00   77.40   26.80   45    1008
   2005 Jul 22 15:00   77.00   26.80   50    1007
   2005 Jul 22 18:00   76.70   27.40   50    1007
   2005 Jul 22 21:00   76.70   27.80   50    1007
   2005 Jul 23 03:00   76.50   28.40   50    1003
   2005 Jul 23 09:00   75.90   29.10   50    1000
   2005 Jul 23 15:00   75.00   29.40   70    1001
   2005 Jul 23 21:00   74.30   29.90   70    1001
   2005 Jul 24 03:00   72.90   30.30   65    1003
   2005 Jul 24 09:00   72.30   30.50   65    1002
   2005 Jul 24 15:00   71.40   30.90   65    1001
   2005 Jul 24 21:00   70.90   31.40   50    1004
   2005 Jul 25 03:00   71.60   30.90   45    1005
   2005 Jul 25 09:00   70.30   30.80   40    1008
   2005 Jul 25 15:00   69.60   31.10   40    1005
   2005 Jul 25 21:00   69.50   30.70   40    1000
   2005 Jul 26 03:00   68.20   30.70   40    1000
   2005 Jul 26 06:00   68.00   31.00   40    1000
   2005 Jul 26 09:00   68.00   31.30   40    1000
   2005 Jul 26 12:00   68.10   31.60   40    1000
   2005 Jul 26 15:00   67.90   32.00   40    1002
   2005 Jul 26 18:00   68.30   32.30   40    1002
   2005 Jul 26 21:00   68.20   32.30   40    1002
   2005 Jul 27 00:00   68.40   32.30   40    1002
   2005 Jul 27 03:00   68.60   32.40   40    1002
   2005 Jul 27 06:00   68.80   32.80   40    1002
   2005 Jul 27 09:00   68.80   33.10   40    1005
   2005 Jul 27 15:00   69.20   33.40   45    1003
   2005 Jul 27 21:00   69.30   33.90   50    1000
   2005 Jul 28 03:00   69.40   34.30   50    1000
   2005 Jul 28 09:00   69.20   35.50   50    1000
   2005 Jul 28 15:00   69.00   36.20   50    1000
   2005 Jul 28 21:00   67.50   37.60   60     997
   2005 Jul 29 03:00   66.00   38.90   60     997
   2005 Jul 29 09:00   63.80   40.30   60     997
   2005 Jul 29 15:00   61.80   41.40   50    1000
   2005 Jul 29 21:00   58.90   42.80   40    1003
