TS Gamma
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Nov 14 03:00   62.70   13.50   35    1007
   2005 Nov 14 09:00   63.20   13.80   35    1006
   2005 Nov 14 15:00   63.60   13.80   35    1006
   2005 Nov 14 21:00   64.50   14.20   35    1006
   2005 Nov 15 03:00   65.30   14.50   35    1004
   2005 Nov 15 09:00   66.40   14.60   35    1004
   2005 Nov 15 15:00   67.50   14.20   35    1004
   2005 Nov 15 21:00   69.00   14.80   35    1006
   2005 Nov 16 03:00   70.20   14.90   35    1006
   2005 Nov 16 09:00   71.40   14.80   30    1006
   2005 Nov 16 15:00   73.80   14.70   30    1006
   2005 Nov 18 21:00   85.60   16.40   40    1006
   2005 Nov 19 00:00   85.70   16.20   45    1006
   2005 Nov 19 03:00   85.80   16.40   45    1006
   2005 Nov 19 06:00   86.10   16.70   45    1005
   2005 Nov 19 09:00   86.20   16.90   45    1005
   2005 Nov 19 12:00   86.30   17.10   45    1005
   2005 Nov 19 15:00   85.90   16.80   45    1005
   2005 Nov 19 18:00   85.20   16.20   45    1005
   2005 Nov 19 21:00   85.20   16.30   45    1004
   2005 Nov 20 00:00   84.70   16.40   45    1005
   2005 Nov 20 03:00   84.50   16.60   45    1005
   2005 Nov 20 06:00   85.00   16.70   45    1006
   2005 Nov 20 09:00   85.00   16.70   40    1006
   2005 Nov 20 12:00   85.10   16.70   35    1006
   2005 Nov 20 15:00   85.30   16.90   35    1007
   2005 Nov 20 21:00   85.50   17.00   35    1007
   2005 Nov 21 03:00   85.50   17.20   30    1008
