TS Harvey
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Aug 02 21:00   68.70   28.50   35    1009
   2005 Aug 03 00:00   68.80   28.80   35    1009
   2005 Aug 03 03:00   68.50   29.40   35    1009
   2005 Aug 03 06:00   68.60   29.50   35    1009
   2005 Aug 03 09:00   68.50   29.90   35    1009
   2005 Aug 03 12:00   68.20   30.30   35    1009
   2005 Aug 03 15:00   68.00   30.80   40    1003
   2005 Aug 03 18:00   67.70   30.90   60     999
   2005 Aug 03 21:00   67.20   31.10   60     998
   2005 Aug 04 00:00   66.50   31.30   60     998
   2005 Aug 04 03:00   65.80   31.50   60     998
   2005 Aug 04 06:00   64.80   31.90   60     998
   2005 Aug 04 09:00   64.60   31.80   60     995
   2005 Aug 04 12:00   63.90   31.90   60     996
   2005 Aug 04 15:00   63.10   32.00   65     994
   2005 Aug 04 18:00   62.30   32.30   65     994
   2005 Aug 04 21:00   61.80   32.40   65     994
   2005 Aug 05 03:00   60.10   32.50   65     994
   2005 Aug 05 09:00   59.00   32.50   65     994
   2005 Aug 05 15:00   58.20   32.40   60     997
   2005 Aug 05 21:00   57.40   32.60   50    1000
   2005 Aug 06 03:00   57.00   32.40   50    1000
   2005 Aug 06 09:00   56.60   33.30   50    1000
   2005 Aug 06 15:00   56.50   33.90   60     997
   2005 Aug 06 21:00   56.00   33.70   60     997
   2005 Aug 07 03:00   55.00   34.40   60     997
   2005 Aug 07 09:00   54.60   35.40   60     997
   2005 Aug 07 15:00   53.50   35.80   50    1000
   2005 Aug 07 21:00   52.60   37.00   50    1000
   2005 Aug 08 03:00   51.50   37.80   50    1000
   2005 Aug 08 09:00   50.30   38.90   50    1001
   2005 Aug 08 15:00   47.10   40.30   50    1001
   2005 Aug 08 21:00   46.10   40.80   50    1001
