Hurricane Katrina
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Aug 23 21:00   75.50   23.20   35    1007
   2005 Aug 24 00:00   75.80   23.30   35    1007
   2005 Aug 24 03:00   76.00   23.40   35    1007
   2005 Aug 24 06:00   76.00   23.60   35    1007
   2005 Aug 24 09:00   76.40   24.00   35    1006
   2005 Aug 24 12:00   76.60   24.40   35    1006
   2005 Aug 24 15:00   76.70   24.70   40    1006
   2005 Aug 24 18:00   77.00   25.20   45    1003
   2005 Aug 24 21:00   77.20   25.60   45    1002
   2005 Aug 25 00:00   77.60   26.00   45    1001
   2005 Aug 25 03:00   78.00   26.00   50    1001
   2005 Aug 25 06:00   78.40   26.10   50    1000
   2005 Aug 25 09:00   78.70   26.20   50    1000
   2005 Aug 25 12:00   79.00   26.20   50     999
   2005 Aug 25 15:00   79.30   26.20   60     997
   2005 Aug 25 17:00   79.50   26.20   65     990
   2005 Aug 25 19:00   79.60   26.20   70     990
   2005 Aug 25 21:00   79.90   26.10   75     985
   2005 Aug 25 23:00   80.10   25.90   80     985
   2005 Aug 26 01:00   80.40   25.80   80     984
   2005 Aug 26 03:00   80.70   25.50   75     984
   2005 Aug 26 05:00   81.10   25.40   70     990
   2005 Aug 26 07:00   81.30   25.30   70     990
   2005 Aug 26 09:00   81.50   25.30   75     987
   2005 Aug 26 11:00   81.80   25.30   75     987
   2005 Aug 26 13:00   82.00   25.20   75     987
   2005 Aug 26 15:00   82.20   25.10   80     981
   2005 Aug 26 15:30   82.20   25.10  100     971
   2005 Aug 26 18:00   82.60   24.90  100     969
   2005 Aug 26 21:00   82.90   24.80  100     965
   2005 Aug 27 00:00   83.30   24.70  100     965
   2005 Aug 27 03:00   83.60   24.60  105     965
   2005 Aug 27 06:00   84.00   24.40  110     963
   2005 Aug 27 09:00   84.40   24.40  115     945
   2005 Aug 27 12:00   84.60   24.40  115     940
   2005 Aug 27 15:00   85.00   24.50  115     940
   2005 Aug 27 18:00   85.40   24.50  115     949
   2005 Aug 27 21:00   85.60   24.60  115     945
   2005 Aug 28 00:00   85.90   24.80  115     944
   2005 Aug 28 03:00   86.20   25.00  115     939
   2005 Aug 28 06:00   86.80   25.10  145     935
   2005 Aug 28 09:00   87.40   25.40  145     935
   2005 Aug 28 12:00   87.70   25.70  160     908
   2005 Aug 28 15:00   88.10   26.00  175     907
   2005 Aug 28 18:00   88.60   26.50  175     906
   2005 Aug 28 21:00   89.00   26.90  165     902
   2005 Aug 29 00:00   89.10   27.20  160     904
   2005 Aug 29 03:00   89.40   27.60  160     904
   2005 Aug 29 05:00   89.50   27.90  160     908
   2005 Aug 29 07:00   89.60   28.20  155     910
   2005 Aug 29 09:00   89.60   28.80  150     915
   2005 Aug 29 11:00   89.60   29.10  145     918
   2005 Aug 29 13:00   89.60   29.70  135     923
   2005 Aug 29 15:00   89.60   30.20  125     927
   2005 Aug 29 17:00   89.60   30.80  105     940
   2005 Aug 29 19:00   89.60   31.40   95     955
   2005 Aug 29 21:00   89.60   31.90   75     960
   2005 Aug 30 00:00   88.90   32.90   65     965
   2005 Aug 30 03:00   88.50   33.50   60     973
   2005 Aug 30 09:00   88.40   34.70   50     981
   2005 Aug 30 15:00   87.50   36.30   35     985
