TS Lee
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Aug 28 21:00   46.80   15.40   30    1007
   2005 Aug 29 03:00   47.40   15.90   30    1007
   2005 Aug 29 09:00   49.40   16.80   30    1007
   2005 Aug 29 15:00   50.50   18.50   30    1008
   2005 Aug 31 15:00   50.40   28.80   35    1009
   2005 Aug 31 21:00   49.70   30.50   40    1007
   2005 Sep 01 03:00   49.10   31.20   35    1009
   2005 Sep 01 09:00   51.30   31.90   35    1010
   2005 Sep 01 15:00   51.50   31.90   35    1010
   2005 Sep 01 21:00   51.50   32.40   35    1010
   2005 Sep 02 03:00   52.30   32.40   30    1010
