Hurricane Maria
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Sep 01 15:00   46.10   19.00   35    1008
   2005 Sep 01 21:00   46.60   19.60   35    1008
   2005 Sep 02 03:00   47.40   20.40   35    1008
   2005 Sep 02 09:00   48.10   20.60   35    1008
   2005 Sep 02 15:00   50.00   21.30   40    1007
   2005 Sep 02 21:00   50.60   22.00   50    1000
   2005 Sep 03 03:00   51.40   22.40   50    1001
   2005 Sep 03 09:00   52.40   23.40   50    1000
   2005 Sep 03 15:00   53.70   25.10   60     997
   2005 Sep 03 21:00   54.80   26.10   70     995
   2005 Sep 04 03:00   54.90   27.10   70     995
   2005 Sep 04 09:00   55.20   28.00   75     987
   2005 Sep 04 15:00   55.50   28.80   75     987
   2005 Sep 04 21:00   56.10   30.30   85     980
   2005 Sep 05 03:00   56.90   31.00   85     980
   2005 Sep 05 09:00   57.00   31.30   90     977
   2005 Sep 05 15:00   56.70   31.80  100     975
   2005 Sep 05 21:00   56.70   32.60  105     970
   2005 Sep 06 03:00   56.50   32.90  115     960
   2005 Sep 06 09:00   56.40   33.30  105     970
   2005 Sep 06 15:00   55.60   33.80  100     975
   2005 Sep 06 21:00   55.10   34.30   80     982
   2005 Sep 07 03:00   54.20   34.70   70     987
   2005 Sep 07 09:00   53.00   35.20   65     994
   2005 Sep 07 15:00   50.90   36.00   80     980
   2005 Sep 07 21:00   50.40   36.90   80     980
   2005 Sep 08 03:00   49.40   37.50   75     982
   2005 Sep 08 09:00   48.50   38.30   75     982
   2005 Sep 08 15:00   47.60   39.10   75     982
   2005 Sep 08 21:00   46.80   39.50   75     982
   2005 Sep 09 03:00   45.90   39.70   70     984
   2005 Sep 09 09:00   44.10   40.20   65     994
   2005 Sep 09 15:00   42.70   40.90   65     988
   2005 Sep 09 21:00   41.50   41.60   60     989
   2005 Sep 10 03:00   39.80   42.50   60     989
   2005 Sep 10 09:00   38.60   43.60   60     989
