Hurricane Rita
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Sep 18 03:00   69.70   22.00   30    1009
   2005 Sep 18 06:00   70.20   22.10   30    1009
   2005 Sep 18 09:00   71.20   21.70   30    1008
   2005 Sep 18 12:00   71.70   21.70   30    1008
   2005 Sep 18 15:00   72.20   22.00   35    1008
   2005 Sep 18 18:00   72.40   21.90   35    1006
   2005 Sep 18 21:00   72.70   22.20   40    1005
   2005 Sep 19 00:00   72.90   22.70   50    1005
   2005 Sep 19 03:00   73.30   22.90   50    1002
   2005 Sep 19 06:00   73.70   23.00   50    1002
   2005 Sep 19 09:00   74.30   22.70   60     998
   2005 Sep 19 15:00   75.20   23.00   65     994
   2005 Sep 19 18:00   75.90   23.10   70     993
   2005 Sep 19 21:00   76.50   23.30   70     995
   2005 Sep 20 00:00   77.00   23.10   70     995
   2005 Sep 20 03:00   77.80   23.30   70     990
   2005 Sep 20 06:00   78.80   23.60   70     991
   2005 Sep 20 09:00   79.50   23.70   70     988
   2005 Sep 20 12:00   80.40   23.80   70     988
   2005 Sep 20 15:00   81.00   23.80   85     982
   2005 Sep 20 18:00   81.70   23.90  100     978
   2005 Sep 20 21:00   82.20   24.00  100     973
   2005 Sep 21 00:00   82.60   24.00  105     969
   2005 Sep 21 03:00   83.20   24.10  110     965
   2005 Sep 21 06:00   84.00   24.20  115     960
   2005 Sep 21 09:00   84.60   24.30  120     956
   2005 Sep 21 12:00   85.30   24.40  135     948
   2005 Sep 21 15:00   85.90   24.30  140     944
   2005 Sep 21 21:00   86.80   24.40  165     914
   2005 Sep 22 00:00   86.80   24.50  165     898
   2005 Sep 22 03:00   87.20   24.60  175     897
   2005 Sep 22 06:00   87.60   24.80  175     898
   2005 Sep 22 09:00   88.00   24.90  175     897
   2005 Sep 22 12:00   88.30   25.20  170     907
   2005 Sep 22 15:00   88.70   25.40  165     907
   2005 Sep 22 18:00   89.20   25.50  150     915
   2005 Sep 22 21:00   89.50   25.80  145     913
   2005 Sep 23 00:00   89.90   26.00  145     913
   2005 Sep 23 03:00   90.30   26.20  140     917
   2005 Sep 23 06:00   90.60   26.40  140     921
   2005 Sep 23 09:00   91.00   26.80  140     927
   2005 Sep 23 12:00   91.50   27.10  140     930
   2005 Sep 23 15:00   91.90   27.40  135     929
   2005 Sep 23 18:00   92.20   27.80  125     931
   2005 Sep 23 21:00   92.60   28.20  125     930
   2005 Sep 23 23:00   92.90   28.50  125     931
   2005 Sep 24 01:00   93.00   28.70  120     931
   2005 Sep 24 03:00   93.20   29.10  120     931
   2005 Sep 24 05:00   93.50   29.20  120     934
   2005 Sep 24 07:00   93.70   29.60  120     937
   2005 Sep 24 09:00   93.90   29.90  120     937
   2005 Sep 24 12:00   94.20   30.40  100     950
   2005 Sep 24 15:00   94.30   31.00   75     960
   2005 Sep 24 18:00   94.20   31.60   70     975
   2005 Sep 24 21:00   94.00   32.10   50     980
   2005 Sep 25 00:00   94.00   32.50   40     983
   2005 Sep 25 03:00   93.90   33.00   35     985
   2005 Sep 25 09:00   92.80   34.20   20     991
   2005 Sep 25 15:00   91.60   35.20   20     997
   2005 Sep 25 21:00   91.60   36.40   20     999
   2005 Sep 26 03:00   89.50   38.50   20    1004
   2005 Sep 26 09:00   86.80   40.80   15    1006
