Hurricane Stan
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Oct 01 15:00   85.80   19.30   30    1007
   2005 Oct 01 18:00   85.80   19.30   35    1007
   2005 Oct 01 21:00   86.50   19.20   35    1005
   2005 Oct 01 21:00   86.50   19.20   35    1005
   2005 Oct 02 00:00   86.70   19.20   35    1004
   2005 Oct 02 03:00   87.00   19.30   35    1004
   2005 Oct 02 06:00   87.30   19.50   35    1004
   2005 Oct 02 09:00   87.50   19.60   45    1003
   2005 Oct 02 12:00   87.70   19.70   40    1003
   2005 Oct 02 15:00   88.10   19.80   40    1003
   2005 Oct 02 18:00   88.70   20.20   40    1004
   2005 Oct 02 21:00   89.40   20.70   40    1004
   2005 Oct 03 03:00   90.30   20.80   35    1003
   2005 Oct 03 09:00   91.50   20.50   40    1002
   2005 Oct 03 12:00   91.90   20.40   40    1000
   2005 Oct 03 15:00   92.30   20.40   45     997
   2005 Oct 03 18:00   92.30   20.30   55     996
   2005 Oct 03 21:00   92.60   20.00   60     995
   2005 Oct 04 00:00   93.10   20.10   60     992
   2005 Oct 04 03:00   93.40   19.90   65     990
   2005 Oct 04 06:00   94.10   19.30   70     982
   2005 Oct 04 09:00   94.40   18.80   75     982
   2005 Oct 04 12:00   94.70   18.70   75     979
   2005 Oct 04 15:00   95.10   18.60   80     979
   2005 Oct 04 18:00   95.50   18.00   65     988
