Hurricane Wilma
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2005 Oct 15 21:00   78.80   17.60   30    1004
   2005 Oct 16 03:00   79.00   17.00   30    1003
   2005 Oct 16 06:00   79.00   17.00   35    1003
   2005 Oct 16 09:00   79.30   17.00   35    1003
   2005 Oct 16 12:00   79.40   17.10   35    1003
   2005 Oct 16 15:00   79.30   17.10   35    1002
   2005 Oct 16 18:00   79.30   17.30   35    1002
   2005 Oct 16 21:00   79.60   17.70   35    1001
   2005 Oct 17 00:00   79.70   17.70   35    1001
   2005 Oct 17 03:00   79.70   17.60   35    1001
   2005 Oct 17 06:00   79.60   17.40   35    1000
   2005 Oct 17 09:00   79.70   17.20   40    1000
   2005 Oct 17 12:00   79.60   16.80   40    1000
   2005 Oct 17 15:00   80.00   16.30   45     998
   2005 Oct 17 18:00   80.00   16.10   45     997
   2005 Oct 17 21:00   79.90   15.80   50     989
   2005 Oct 18 00:00   79.90   15.70   50     989
   2005 Oct 18 03:00   80.20   15.80   65     987
   2005 Oct 18 06:00   80.00   15.70   65     984
   2005 Oct 18 09:00   80.00   15.70   70     982
   2005 Oct 18 12:00   80.20   15.90   70     980
   2005 Oct 18 15:00   80.60   16.50   75     977
   2005 Oct 18 18:00   81.10   16.70   80     975
   2005 Oct 19 00:00   81.80   16.70  100     954
   2005 Oct 19 03:00   82.10   16.80  110     945
   2005 Oct 19 05:00   82.00   16.90  150     901
   2005 Oct 19 06:00   82.20   17.00  150     901
   2005 Oct 19 09:00   82.50   17.20  175     884
   2005 Oct 19 12:00   82.80   17.20  175     882
   2005 Oct 19 15:00   83.20   17.40  175     882
   2005 Oct 19 18:00   83.50   17.50  165     900
   2005 Oct 19 21:00   83.70   17.70  160     892
   2005 Oct 20 00:00   83.90   17.90  160     892
   2005 Oct 20 03:00   84.30   18.10  155     894
   2005 Oct 20 06:00   84.70   18.10  155     899
   2005 Oct 20 09:00   85.00   18.30  150     900
   2005 Oct 20 12:00   85.20   18.30  145     910
   2005 Oct 20 15:00   85.50   18.40  145     915
   2005 Oct 20 18:00   85.50   18.60  145     915
   2005 Oct 20 21:00   85.70   18.90  150     918
   2005 Oct 21 00:00   85.90   19.10  150     923
   2005 Oct 21 03:00   86.00   19.30  150     923
   2005 Oct 21 06:00   86.10   19.50  150     930
   2005 Oct 21 09:00   86.20   20.00  150     929
   2005 Oct 21 12:00   86.30   20.10  145     930
   2005 Oct 21 15:00   86.50   20.20  145     930
   2005 Oct 21 18:00   86.70   20.40  140     926
   2005 Oct 21 21:00   86.90   20.60  140     926
   2005 Oct 22 00:00   86.90   20.60  140     930
   2005 Oct 22 03:00   86.90   20.80  140     932
   2005 Oct 22 06:00   87.20   20.80  135     935
   2005 Oct 22 09:00   87.20   20.90  125     935
   2005 Oct 22 12:00   87.00   21.00  120     943
   2005 Oct 22 15:00   87.00   21.30  115     946
   2005 Oct 22 18:00   87.00   21.20  110     953
   2005 Oct 22 21:00   87.10   21.40  100     957
   2005 Oct 23 00:00   87.00   21.60  100     959
   2005 Oct 23 03:00   86.90   21.80  100     959
   2005 Oct 23 06:00   86.80   21.80  100     962
   2005 Oct 23 09:00   86.60   22.10  100     961
   2005 Oct 23 12:00   86.10   22.40  100     961
   2005 Oct 23 15:00   85.80   22.70  100     961
   2005 Oct 23 18:00   85.30   23.10  100     963
   2005 Oct 23 21:00   84.90   23.50  105     959
   2005 Oct 24 00:00   84.40   23.90  110     958
   2005 Oct 24 03:00   83.70   24.40  115     958
   2005 Oct 24 05:00   83.30   24.70  115     954
   2005 Oct 24 07:00   82.80   25.10  120     954
   2005 Oct 24 09:00   82.40   25.50  125     950
   2005 Oct 24 11:00   81.40   26.10  120     950
   2005 Oct 24 13:00   80.70   26.30  110     952
   2005 Oct 24 15:00   80.00   26.90  105     956
   2005 Oct 24 18:00   79.20   27.30  105     956
   2005 Oct 24 18:30   78.80   28.10  115     955
   2005 Oct 24 21:00   77.40   29.00  120     954
   2005 Oct 25 00:00   76.00   30.20  125     955
   2005 Oct 25 03:00   74.30   31.60  125     959
   2005 Oct 25 09:00   70.00   34.80  115     965
   2005 Oct 25 15:00   66.00   38.50  105     970
   2005 Oct 25 21:00   62.80   41.70   85     976
