TS Alberto
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Jun 10 13:00   85.30   21.10   35    1003
   2006 Jun 10 15:00   85.60   21.50   35    1003
   2006 Jun 10 18:00   85.60   21.70   35    1003
   2006 Jun 10 21:00   85.70   21.80   35    1004
   2006 Jun 11 03:00   86.20   23.40   35    1004
   2006 Jun 11 09:00   87.00   23.50   35    1003
   2006 Jun 11 15:00   88.10   23.90   45    1004
   2006 Jun 11 21:00   87.80   24.50   45    1004
   2006 Jun 12 00:00   87.80   25.10   45    1004
   2006 Jun 12 03:00   87.70   25.30   45    1004
   2006 Jun 12 06:00   87.70   25.40   45    1006
   2006 Jun 12 09:00   87.20   26.20   50    1001
   2006 Jun 12 12:00   87.00   26.70   50    1001
   2006 Jun 12 15:00   85.90   27.10   70     997
   2006 Jun 12 18:00   85.40   27.50   70     997
   2006 Jun 12 21:00   85.10   27.90   70     997
   2006 Jun 13 00:00   84.90   28.00   70     997
   2006 Jun 13 03:00   84.60   28.40   70     995
   2006 Jun 13 06:00   84.40   28.80   65     995
   2006 Jun 13 09:00   84.20   29.20   65     995
   2006 Jun 13 12:00   84.20   29.50   65     995
   2006 Jun 13 15:00   83.80   29.80   50     996
   2006 Jun 13 18:00   83.40   30.40   40     998
   2006 Jun 13 21:00   83.20   30.70   40    1000
   2006 Jun 14 00:00   82.80   31.30   40    1001
   2006 Jun 14 03:00   82.30   31.80   40    1002
   2006 Jun 14 06:00   82.10   32.60   40    1004
   2006 Jun 14 09:00   81.40   33.50   35    1003
   2006 Jun 14 15:00   79.50   35.00   35    1004
   2006 Jun 14 21:00   76.30   36.50   35    1001
