TS Beryl
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Jul 18 15:00   73.40   32.50   35    1011
   2006 Jul 18 18:00   73.40   32.80   35    1011
   2006 Jul 18 21:00   73.30   33.30   35    1008
   2006 Jul 19 00:00   73.40   33.80   40    1006
   2006 Jul 19 03:00   73.60   34.10   40    1006
   2006 Jul 19 06:00   73.80   34.50   40    1006
   2006 Jul 19 09:00   73.70   34.70   40    1005
   2006 Jul 19 12:00   73.70   35.10   45    1005
   2006 Jul 19 15:00   73.70   35.60   45    1004
   2006 Jul 19 21:00   73.50   36.30   60    1002
   2006 Jul 20 00:00   73.10   36.60   60    1002
   2006 Jul 20 03:00   73.00   37.00   60    1002
   2006 Jul 20 06:00   73.30   37.40   60    1002
   2006 Jul 20 09:00   73.20   37.80   60    1001
   2006 Jul 20 12:00   73.00   38.20   60    1002
   2006 Jul 20 15:00   72.70   38.80   60    1002
   2006 Jul 20 18:00   72.60   39.10   60    1002
   2006 Jul 20 21:00   72.00   39.60   50    1002
   2006 Jul 21 00:00   71.80   39.80   50    1003
   2006 Jul 21 03:00   71.30   40.20   50    1003
   2006 Jul 21 06:00   70.50   41.00   50    1004
   2006 Jul 21 09:00   69.70   41.70   50    1001
   2006 Jul 21 15:00   67.40   43.10   45    1002
