TS Chris
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Jul 31 03:00   59.40   16.60   35    1011
   2006 Aug 01 06:00   58.80   16.50   35    1011
   2006 Aug 01 09:00   59.20   16.60   40    1009
   2006 Aug 01 12:00   59.80   16.80   40    1009
   2006 Aug 01 15:00   60.30   17.30   40    1009
   2006 Aug 01 18:00   60.90   17.60   40    1009
   2006 Aug 01 21:00   61.20   17.70   45    1007
   2006 Aug 01 21:30   61.10   18.00   60    1003
   2006 Aug 02 00:00   61.60   18.30   60    1003
   2006 Aug 02 03:00   61.80   18.30   60    1003
   2006 Aug 02 06:00   62.20   18.50   60    1002
   2006 Aug 02 09:00   62.60   18.80   60    1001
   2006 Aug 02 12:00   63.00   19.00   65    1001
   2006 Aug 02 15:00   63.40   19.20   65    1001
   2006 Aug 02 18:00   64.00   19.50   65    1007
   2006 Aug 02 21:00   64.30   19.90   60    1005
   2006 Aug 03 00:00   64.50   19.80   60    1007
   2006 Aug 03 03:00   64.90   19.80   60    1007
   2006 Aug 03 06:00   65.50   20.00   55    1007
   2006 Aug 03 09:00   66.40   20.30   45    1010
   2006 Aug 03 12:00   66.80   20.50   40    1012
   2006 Aug 03 15:00   67.30   20.50   40    1012
   2006 Aug 03 18:00   67.70   20.70   40    1012
   2006 Aug 03 21:00   68.20   20.70   40    1011
   2006 Aug 04 00:00   68.70   20.70   40    1012
   2006 Aug 04 03:00   69.30   20.80   40    1012
   2006 Aug 04 06:00   70.00   21.00   40    1012
   2006 Aug 04 09:00   70.90   20.90   40    1012
   2006 Aug 04 12:00   71.10   21.20   35    1012
   2006 Aug 04 15:00   71.60   21.30   35    1012
   2006 Aug 04 18:00   72.20   21.40   35    1012
   2006 Aug 04 21:00   72.80   21.40   35    1011
   2006 Aug 05 00:00   73.40   21.50   35    1011
   2006 Aug 05 03:00   74.00   21.60   30    1012
   2006 Aug 05 09:00   75.60   21.50   25    1011
