TS Debby 
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Aug 21 21:00   21.50   12.50   35    1007
   2006 Aug 22 00:00   22.60   12.00   35    1007
   2006 Aug 22 03:00   23.20   12.20   35    1007
   2006 Aug 22 06:00   24.00   12.50   35    1007
   2006 Aug 22 09:00   24.60   12.80   35    1007
   2006 Aug 22 12:00   25.20   13.00   35    1007
   2006 Aug 22 15:00   26.10   13.60   35    1007
   2006 Aug 22 21:00   27.50   14.50   35    1005
   2006 Aug 23 03:00   28.90   15.20   40    1003
   2006 Aug 23 09:00   30.10   15.90   45    1002
   2006 Aug 23 15:00   31.50   16.80   50    1000
   2006 Aug 23 21:00   33.00   17.90   45    1002
   2006 Aug 24 03:00   34.70   18.80   45    1003
   2006 Aug 24 09:00   36.30   19.60   45    1003
   2006 Aug 24 15:00   37.80   20.40   50    1000
   2006 Aug 24 21:00   39.50   21.30   50    1000
   2006 Aug 25 03:00   41.10   21.90   50    1000
   2006 Aug 25 09:00   42.30   22.90   50    1000
   2006 Aug 25 15:00   43.30   23.90   40    1003
   2006 Aug 25 21:00   44.70   24.90   40    1003
   2006 Aug 26 03:00   45.60   25.20   40    1008
   2006 Aug 26 09:00   46.70   25.30   35    1009
   2006 Aug 26 15:00   47.30   25.60   30    1009
   2006 Aug 26 21:00   47.50   27.00   30    1009
   2006 Aug 27 03:00   48.50   27.90   30    1012
   2006 Aug 27 09:00   49.30   28.60   30    1012
   2006 Aug 27 15:00   49.20   29.60   30    1012
   2006 Aug 27 21:00   48.60   31.50   30    1012
