Hurricane Ernesto
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Aug 24 21:00   62.40   12.90   35    1007
   2006 Aug 25 03:00   63.90   13.20   35    1007
   2006 Aug 25 09:00   65.70   13.40   35    1005
   2006 Aug 25 15:00   66.40   13.50   35    1005
   2006 Aug 25 21:00   67.60   14.30   40    1004
   2006 Aug 26 00:00   68.40   14.50   40    1004
   2006 Aug 26 03:00   69.10   14.80   45    1003
   2006 Aug 26 06:00   69.50   14.70   45     999
   2006 Aug 26 09:00   70.20   14.80   45     999
   2006 Aug 26 12:00   70.60   15.00   50     997
   2006 Aug 26 15:00   71.20   15.10   50     997
   2006 Aug 26 18:00   71.80   15.50   50     997
   2006 Aug 26 21:00   71.60   15.90   60     997
   2006 Aug 27 00:00   72.20   16.50   60     997
   2006 Aug 27 03:00   72.70   16.80   60     997
   2006 Aug 27 06:00   72.70   16.70   60     994
   2006 Aug 27 09:00   73.10   17.00   70     990
   2006 Aug 27 12:00   73.40   17.30   75     997
   2006 Aug 27 15:00   73.70   17.60   75     997
   2006 Aug 27 18:00   73.90   17.80   75    1002
   2006 Aug 27 21:00   74.50   18.00   60    1004
   2006 Aug 28 00:00   74.40   18.20   50    1004
   2006 Aug 28 03:00   74.70   18.60   50    1004
   2006 Aug 28 06:00   75.00   19.00   50    1004
   2006 Aug 28 09:00   75.40   19.60   50    1002
   2006 Aug 28 12:00   75.50   19.90   45    1005
   2006 Aug 28 15:00   75.70   20.30   40    1006
   2006 Aug 28 18:00   76.10   20.70   40    1007
   2006 Aug 28 21:00   76.90   21.30   40    1007
   2006 Aug 29 00:00   77.40   21.40   40    1007
   2006 Aug 29 03:00   77.80   21.70   40    1007
   2006 Aug 29 06:00   78.30   22.20   40    1007
   2006 Aug 29 09:00   78.90   22.60   45    1005
   2006 Aug 29 12:00   79.30   22.80   45    1007
   2006 Aug 29 15:00   79.50   23.30   45    1005
   2006 Aug 29 18:00   79.70   23.90   45    1008
   2006 Aug 29 21:00   80.20   24.30   45    1005
   2006 Aug 30 00:00   80.40   24.80   45    1004
   2006 Aug 30 03:00   80.50   24.90   45    1004
   2006 Aug 30 06:00   80.70   25.20   45    1003
   2006 Aug 30 09:00   80.90   25.60   45    1001
   2006 Aug 30 12:00   81.00   26.00   40    1001
   2006 Aug 30 15:00   80.90   26.40   35    1003
   2006 Aug 30 18:00   80.90   26.90   35    1003
   2006 Aug 30 21:00   80.80   27.60   35    1001
   2006 Aug 31 00:00   80.70   28.20   35    1000
   2006 Aug 31 03:00   80.60   28.70   35    1000
   2006 Aug 31 06:00   80.40   29.40   40    1000
   2006 Aug 31 09:00   80.20   30.00   50     998
   2006 Aug 31 12:00   79.90   30.40   55     996
   2006 Aug 31 15:00   79.60   31.30   60     994
   2006 Aug 31 18:00   79.10   31.90   60     993
   2006 Aug 31 21:00   78.70   32.60   70     991
   2006 Sep 01 03:00   78.20   33.90   70     988
   2006 Sep 01 09:00   77.80   35.10   60     990
   2006 Sep 01 15:00   77.60   36.40   35     992
