TS Florence
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Sep 03 21:00    40.40  14.60   35    1005
   2006 Sep 04 03:00    40.40  14.80   35    1005
   2006 Sep 04 09:00    41.10  15.60   35    1005
   2006 Sep 04 15:00    42.70  16.30   35    1005
   2006 Sep 04 21:00    43.80  16.60   35    1005
   2006 Sep 05 03:00    44.80  17.30   35    1007
   2006 Sep 05 09:00    45.90  17.70   35    1007
   2006 Sep 05 15:00    47.30  17.30   40    1005
   2006 Sep 05 21:00    48.50  17.40   45    1003
   2006 Sep 06 03:00    49.50  17.70   45    1003
   2006 Sep 06 09:00    50.20  18.40   45    1003
   2006 Sep 06 15:00    50.90  18.30   50    1000
   2006 Sep 06 21:00    51.40  19.00   50     999
   2006 Sep 07 03:00    52.50  19.60   50     999
   2006 Sep 07 09:00    53.20  20.10   50     999
   2006 Sep 07 15:00    53.40  19.80   50    1000
   2006 Sep 07 21:00    54.90  20.60   50    1000
   2006 Sep 08 03:00    56.10  21.30   50    1000
   2006 Sep 08 09:00    57.60  22.10   50    1000
   2006 Sep 08 15:00    59.10  23.00   50    1000
   2006 Sep 08 21:00    60.10  23.90   50    1000
   2006 Sep 08 03:00    61.40  24.50   65     994
