TS Gordon
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Sep 11 03:00    54.50  20.20   30    1012
   2006 Sep 11 09:00    55.10  20.50   35    1010
   2006 Sep 11 15:00    56.70  21.10   35    1009
   2006 Sep 11 21:00    57.30  21.60   45    1003
   2006 Sep 12 03:00    57.90  22.10   60    1000
   2006 Sep 12 09:00    58.30  22.60   60    1000
   2006 Sep 12 15:00    58.30  23.40   60    1000
   2006 Sep 12 21:00    58.40  23.70   65     994
   2006 Sep 13 03:00    57.90  24.40   75     987
   2006 Sep 13 09:00    57.90  25.10   75     987
   2006 Sep 13 15:00    57.90  26.00   90     977
   2006 Sep 13 21:00    57.50  27.00  110     965
   2006 Sep 14 03:00    57.10  27.80  120     955
   2006 Sep 14 09:00    56.60  28.70  120     955
   2006 Sep 14 15:00    55.90  29.50  120     955
   2006 Sep 14 21:00    54.90  30.20  120     955
   2006 Sep 15 03:00    54.30  30.60  115     960
   2006 Sep 15 09:00    53.40  30.90  110     965
   2006 Sep 15 15:00    53.30  31.10  100     973
   2006 Sep 15 21:00    53.50  31.10   90     976
   2006 Sep 16 03:00    53.40  31.30   85     980
   2006 Sep 16 09:00    53.70  31.30   75     987
   2006 Sep 16 15:00    53.70  31.30   75     987
   2006 Sep 16 21:00    54.00  31.70   75     987
   2006 Sep 17 03:00    53.90  32.00   75     987
   2006 Sep 17 09:00    53.30  32.60   75     987
   2006 Sep 17 15:00    53.20  33.60   80     983
   2006 Sep 17 21:00    52.40  34.60   80     983
   2006 Sep 18 03:00    51.50  35.40   80     983
   2006 Sep 18 09:00    49.60  36.50   80     983
   2006 Sep 18 15:00    47.60  37.30   90     980
   2006 Sep 18 21:00    44.80  37.80   90     977
   2006 Sep 19 03:00    41.60  38.00  100     972
   2006 Sep 19 09:00    38.70  38.10  105     970
   2006 Sep 19 15:00    35.40  38.00   85     979
   2006 Sep 19 21:00    31.60  37.90   85     979
   2006 Sep 20 03:00    28.10  37.70   80     980
   2006 Sep 20 09:00    24.20  37.80   75     987
   2006 Sep 20 15:00    20.90  37.80   60     995
   2006 Sep 20 21:00    16.60  39.20   50     997
