TS Helene
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Sep 12 15:00   23.00   12.50   30    1007
   2006 Sep 12 21:00   23.90   12.00   35    1007
   2006 Sep 13 03:00   25.30   11.80   35    1007
   2006 Sep 13 09:00   26.70   11.90   35    1007
   2006 Sep 13 15:00   28.50   12.00   35    1007
   2006 Sep 13 21:00   30.70   12.70   35    1007
   2006 Sep 14 03:00   32.70   13.30   40    1005
   2006 Sep 14 09:00   34.70   13.70   40    1005
   2006 Sep 14 15:00   36.80   13.40   45    1003
   2006 Sep 14 21:00   37.60   14.20   45    1003
   2006 Sep 15 03:00   38.90   14.50   45    1004
   2006 Sep 15 09:00   40.30   15.00   45    1003
   2006 Sep 15 15:00   41.40   15.80   60    1000
   2006 Sep 15 21:00   42.80   16.70   70     992
   2006 Sep 16 03:00   43.70   17.20   70     992
