Hurricane Dean
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2007 Aug 13 15:00   31.6    12.0    35    1005
   2007 Aug 13 21:00   33.1    11.9    35    1005
   2007 Aug 14 03:00   35.0    12.0    35    1005
   2007 Aug 14 09:00   36.8    12.0    35    1005
   2007 Aug 14 15:00   39.9    11.7    40    1004
   2007 Aug 14 21:00   41.1    11.6    40    1004
   2007 Aug 15 03:00   42.3    12.0    50    1000
   2007 Aug 15 09:00   44.2    12.2    50    1000
   2007 Aug 15 15:00   46.0    12.4    60     997
   2007 Aug 15 21:00   47.9    13.1    65     994
   2007 Aug 16 03:00   50.2    13.1    70     991
   2007 Aug 16 09:00   52.3    13.4    75     987
   2007 Aug 16 15:00   54.3    13.7    90     979
   2007 Aug 16 21:00   56.5    14.0   100    979
   2007 Aug 17 03:00   58.7    14.1   100    976
   2007 Aug 17 09:00   60.9    14.3   100    976
   2007 Aug 17 15:00   62.6    14.6   105    964
   2007 Aug 17 21:00   64.5    15.0   125    961
   2007 Aug 18 03:00   65.9    14.9   145    937
   2007 Aug 18 09:00   67.3    15.1   150    930
   2007 Aug 18 15:00   68.6    15.7   150    929
   2007 Aug 18 21:00   70.2    16.1   150    930
   2007 Aug 19 03:00   71.7    16.2   145    918
   2007 Aug 19 09:00   73.4    16.6   145    921
   2007 Aug 19 15:00   75.1    17.0   145    926
   2007 Aug 19 21:00   76.8    17.3   145    930
   2007 Aug 20 03:00   78.8    17.6   145    924
   2007 Aug 20 09:00   80.7    17.7   150    926
   2007 Aug 20 15:00   82.4    17.9   150    925
   2007 Aug 20 21:00   84.2    18.2   150    918
   2007 Aug 21 03:00   86.0    18.4   160    914
   2007 Aug 21 09:00   87.8    18.7   165    906
   2007 Aug 21 15:00   89.6    19.0   105    950
   2007 Aug 21 21:00   91.3    19.4    80    970
   2007 Aug 22 03:00   93.0    19.9    80    979
   2007 Aug 22 09:00   94.8    20.3    80    979
   2007 Aug 22 15:00   96.3    20.6   100    979
   2007 Aug 22 21:00   98.1    20.5    70    975
   2007 Aug 23 03:00  100.0    20.5    35    1000
