Hurricane Bud
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   11 JUL 2006 03:00   110.6   12.5    35    1007
   11 JUL 2006 09:00   111.3   13.7    40    1005
   11 JUL 2006 15:00   112.6   13.9    40    1005
   11 JUL 2006 21:00   113.0   14.4    60     996
   11 JUL 2006 22:30   113.1   14.2    75     987
   12 JUL 2006 03:00   114.1   14.6    90     975
   12 JUL 2006 09:00   115.3   15.0   100     972
   12 JUL 2006 15:00   116.2   15.7   100     972
   12 JUL 2006 21:00   117.5   16.3   100     970
   13 JUL 2006 03:00   118.9   17.1   115     960
   13 JUL 2006 09:00   120.5   17.5   125     953
   13 JUL 2006 15:00   122.0   17.9   115     962
   13 JUL 2006 21:00   123.3   18.4   110     966
   14 JUL 2006 03:00   124.6   18.9   100     972
   14 JUL 2006 09:00   125.9   19.5    80     983
   14 JUL 2006 15:00   127.1   19.7    57     994
   14 JUL 2006 21:00   128.5   19.8    45    1002
   15 JUL 2006 03:00   130.0   20.1    40    1005
   15 JUL 2006 09:00   131.4   20.4    35    1006
   15 JUL 2006 15:00   132.9   20.6    35    1007
   15 JUL 2006 21:00   134.2   21.1    30    1007
