Hurricane Carlotta
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   12 JUL 2006 03:00   102.8   14.4    35    1006
   12 JUL 2006 09:00   103.9   14.1    40    1005
   12 JUL 2006 15:00   105.3   14.5    45    1002
   12 JUL 2006 21:00   106.4   15.3    60     997
   13 JUL 2006 03:00   107.9   16.2    70     991
   13 JUL 2006 09:00   109.4   16.4    85     981
   13 JUL 2006 15:00   110.4   17.3    80     984
   13 JUL 2006 21:00   111.3   17.8    85     984
   14 JUL 2006 03:00   112.1   18.1    85     981
   14 JUL 2006 09:00   112.8   18.1    85     981
   14 JUL 2006 15:00   113.7   18.4    75     987
   14 JUL 2006 21:00   114.4   18.6    70     990
   15 JUL 2006 03:00   115.4   18.9    80     984
   15 JUL 2006 09:00   116.5   19.0    80     984
   15 JUL 2006 15:00   117.7   18.8    75     987
   15 JUL 2006 21:00   118.4   19.4    65     990
   16 JUL 2006 03:00   119.6   19.7    50     996
   16 JUL 2006 09:00   120.5   19.9    45    1002
   16 JUL 2006 15:00   121.5   20.2    35    1008
   16 JUL 2006 21:00   122.4   20.4    35    1009
   17 JUL 2006 03:00   123.5   20.9    30    1010
