Tropical Depression Two-E
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   21 JUL 2006 15:00   103.1   12.1    30    1006
   21 JUL 2006 21:00   103.3   12.7    30    1006
   22 JUL 2006 03:00   103.5   13.4    35    1005
   22 JUL 2006 09:00   104.0   13.8    40    1004
   22 JUL 2006 15:00   104.6   15.3    40    1004
   22 JUL 2006 21:00   104.6   16.5    45    1002
   23 JUL 2006 03:00   105.3   17.4    45    1002
   23 JUL 2006 09:00   106.5   17.8    50    1000
   23 JUL 2006 15:00   107.4   18.1    65     994
   23 JUL 2006 21:00   107.8   18.4    70     991
   24 JUL 2006 03:00   108.8   18.2    70     991
   24 JUL 2006 09:00   110.1   18.7    65     994
   24 JUL 2006 15:00   110.1   18.7    65     994
   24 JUL 2006 21:00   110.4   19.2    60     997
   25 JUL 2006 03:00   110.6   19.8    50     995
   25 JUL 2006 09:00   111.0   20.2    50     995
   25 JUL 2006 15:00   111.3   20.6    65     991
   25 JUL 2006 21:00   111.6   21.8    65     991
   25 JUL 2006 03:00   111.0   22.9    70     989
   25 JUL 2006 09:00   112.5   24.0    70     989
   25 JUL 2006 15:00   113.5   24.7    70     989
   25 JUL 2006 21:00   114.4   25.5    65     994
   25 JUL 2006 03:00   115.8   25.8    50    1000
   25 JUL 2006 09:00   116.7   26.4    35    1003
   25 JUL 2006 15:00   118.6   27.1    30    1008
   25 JUL 2006 21:00   119.2   27.3    30    1009
   26 JUL 2006 03:00   119.8   28.0    30    1010
