Tropical Storm Gilma
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   01 AUG 2006 03:00   104.6   12.7    35    1009
   01 AUG 2006 09:00   104.6   13.6    35    1009
   01 AUG 2006 15:00   105.5   13.8    40    1005
   01 AUG 2006 21:00   105.6   14.4    40    1005
   02 AUG 2006 03:00   106.0   14.8    40    1005
   02 AUG 2006 09:00   106.0   14.6    35    1005
   02 AUG 2006 15:00   106.5   14.9    35    1005
   02 AUG 2006 21:00   107.2   15.0    35    1005
   03 AUG 2006 03:00   107.8   15.4    35    1005
   03 AUG 2006 09:00   108.4   15.4    30    1006
   03 AUG 2006 15:00   109.5   15.7    30    1006
   03 AUG 2006 21:00   110.1   16.0    25    1008
