Hurricane Illeana
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   21 AUG 2006 18:00   102.8   12.8    35    1006
   21 AUG 2006 21:00   103.2   12.8    40    1004
   22 AUG 2006 03:00   104.3   13.3    45    1002
   22 AUG 2006 09:00   105.6   14.0    50    1000
   22 AUG 2006 15:00   106.7   14.8    65     997
   22 AUG 2006 21:00   108.2   15.8    75     987
   23 AUG 2006 03:00   109.2   16.6    85     979
   23 AUG 2006 09:00   110.6   17.5   115     960
   23 AUG 2006 15:00   111.5   18.1   120     960
   23 AUG 2006 21:00   112.7   19.0   120     955
   24 AUG 2006 03:00   113.5   19.4   120     955
   24 AUG 2006 09:00   114.2   19.9   110     960
   24 AUG 2006 15:00   114.9   20.5   100     973
   24 AUG 2006 21:00   115.5   20.8   100     973
   25 AUG 2006 03:00   116.0   21.2    90     975
   25 AUG 2006 09:00   116.7   21.3    85     980
   25 AUG 2006 15:00   116.9   21.6    80     983
   25 AUG 2006 21:00   117.2   22.0    75     987
   26 AUG 2006 03:00   117.9   22.3    75     987
   26 AUG 2006 09:00   118.6   22.5    65     990
   26 AUG 2006 15:00   119.3   22.8    65     990
   26 AUG 2006 21:00   119.2   22.8    60     994
   27 AUG 2006 03:00   119.8   23.2    45    1000
   27 AUG 2006 09:00   120.1   23.4    35    1004
   27 AUG 2006 15:00   120.9   23.6    35    1003
