Hurricane Ioke
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   20 AUG 2006 03:00   158.2   10.1    30    1006
   20 AUG 2006 09:00   159.0   10.6    40    1002
   20 AUG 2006 15:00   160.9   10.9    40    1002
   20 AUG 2006 21:00   162.6   11.3    50     999
   21 AUG 2006 03:00   163.8   11.5    75     996
   21 AUG 2006 09:00   165.0   11.7    80     990
   21 AUG 2006 15:00   165.8   12.3    85     985
   21 AUG 2006 21:00   166.3   13.0   115     960
   22 AUG 2006 03:00   167.4   13.9   135     945
   22 AUG 2006 09:00   168.1   14.9   135     945
   22 AUG 2006 15:00   168.8   15.6   135     945
   22 AUG 2006 21:00   169.7   16.2   105     964
   23 AUG 2006 03:00   170.2   16.6   105     971
   23 AUG 2006 09:00   170.5   17.2   105     971
   23 AUG 2006 15:00   170.7   17.6   105     971
   23 AUG 2006 21:00   171.1   17.8   105     971
   24 AUG 2006 03:00   171.7   18.3   105     971
   24 AUG 2006 09:00   172.3   18.6   115     960
   24 AUG 2006 15:00   172.8   18.7   125     950
   24 AUG 2006 21:00   173.3   18.8   145     935
   24 AUG 2006 03:00   173.7   19.1   145     935
   25 AUG 2006 09:00   174.5   19.2   160     921
   25 AUG 2006 15:00   175.1   19.3   160     921
   25 AUG 2006 21:00   175.4   19.2   160     921
   25 AUG 2006 03:00   176.2   19.3   150     930
   26 AUG 2006 09:00   176.9   19.0   150     930
   26 AUG 2006 15:00   177.9   18.7   160     920
   26 AUG 2006 21:00   178.2   18.2   160     920
   27 AUG 2006 03:00   179.3   17.7   160     920
   27 AUG 2006 06:00   180.3   17.4   160     920
   27 AUG 2006 12:00   180.4   17.3   160     920
   27 AUG 2006 18:00   181.4   16.9   160     920
   28 AUG 2006 00:00   182.4   16.6   155     920
   28 AUG 2006 06:00   183.3   16.3   150     920
   28 AUG 2006 12:00   184.2   16.2   150     920
   28 AUG 2006 18:00   184.8   16.2   150     920
   29 AUG 2006 00:00   185.8   16.0   150     920
   29 AUG 2006 06:00   186.6   16.2   155     925
   29 AUG 2006 12:00   187.3   16.2   150     920
   29 AUG 2006 18:00   188.1   16.4   160     925
   30 AUG 2006 00:00   188.8   16.6   160     910
   30 AUG 2006 06:00   189.5   17.1   160     920
