Hurricane Lane
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2006 Sep 13 21:00   101.50  16.00   35    1005
   2006 Sep 14 03:00   102.40  16.60   35    1005
   2006 Sep 14 09:00   102.90  16.90   40    1000
   2006 Sep 14 15:00   104.30  17.50   45     999
   2006 Sep 14 21:00   105.20  17.90   60     997
   2006 Sep 15 03:00   105.30  18.40   60     997
   2006 Sep 15 09:00   106.00  19.10   65     994
   2006 Sep 15 15:00   106.20  19.70   70     990
   2006 Sep 15 21:00   106.30  20.60   80     985
   2006 Sep 16 03:00   106.80  21.70  105     970
