TS Miriam
   Time (UTC)          W.Long  N.Lat   KT    Pr(mb)
   2006 Sep 16 12:00   114.40  17.50   30    1004
   2006 Sep 16 15:00   114.20  17.80   30    1003
   2006 Sep 16 21:00   114.30  18.20   35    1003
   2006 Sep 17 03:00   114.40  18.40   40    1002
   2006 Sep 17 09:00   113.90  19.10   40    1002
   2006 Sep 17 15:00   113.90  19.20   40    1002
   2006 Sep 17 21:00   114.00  19.30   35    1004
   2006 Sep 18 03:00   114.10  19.40   35    1001
   2006 Sep 18 09:00   113.70  19.90   30    1001
   2006 Sep 18 15:00   113.80  20.10   25    1005
