TS Norman
   Time (UTC)          W.Long  N.Lat   KT    Pr(mb)
   2006 Oct 09 04:00   117.30  14.70   30    1006
   2006 Oct 09 09:00   117.60  15.30   30    1006
   2006 Oct 09 15:00   117.60  15.80   40    1002
   2006 Oct 09 21:00   117.90  16.20   40    1002
   2006 Oct 10 03:00   117.80  16.90   45    1000
   2006 Oct 10 09:00   117.80  16.50   45    1000  
   2006 Oct 10 15:00   117.90  17.00   40    1002
   2006 Oct 10 21:00   117.70  16.50   30    1006
   2006 Oct 11 03:00   117.10  16.80   25    1008 

TD Norman
   Time (UTC)          W.Long  N.Lat   KT    Pr(mb)
   2006 Oct 15 09:00   105.10  18.10   30    1001
   2006 Oct 15 15:00   104.80  19.00   30    1000
   2006 Oct 15 21:00   104.70  19.20   30    1003
