TS Olivia
   Time (UTC)          W.Long  N.Lat   KT    Pr(mb)
   2006 Oct 09 21:00   127.90  12.80   30    1005
   2006 Oct 10 03:00   127.70  13.30   30    1005
   2006 Oct 10 09:00   127.70  14.00   30    1005
   2006 Oct 10 15:00   127.50  14.60   40    1000
   2006 Oct 10 21:00   126.00  15.90   40    1000
   2006 Oct 11 03:00   125.40  16.50   40    1000  
   2006 Oct 11 09:00   124.70  16.90   30    1005
   2006 Oct 11 15:00   124.50  17.00   30    1005
   2006 Oct 11 21:00   123.60  17.00   25    1007
   2006 Oct 12 03:00   122.70  17.30   25    1008
   2006 Oct 12 09:00   121.90  17.60   25    1008
   2006 Oct 12 15:00   121.10  17.70   25    1008
   2006 Oct 12 21:00   120.40  17.50   25    1008
