TS Alvin
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2007 May 27 03:00   110.8   12.6    35    1006
   2007 May 27 09:00   111.2   12.8    35    1006
   2007 May 27 15:00   111.2   13.0    35    1006
   2007 May 27 21:00   111.2   13.2    30    1007
   2007 May 28 03:00   111.7   13.0    30    1007
   2007 May 28 09:00   112.4   13.1    35    1006
   2007 May 28 15:00   113.1   13.0    35    1005
   2007 May 28 21:00   113.2   12.8    35    1005
   2007 May 29 03:00   113.7   12.6    40    1004
   2007 May 29 09:00   114.0   12.5    40    1004
   2007 May 29 15:00   114.2   12.6    40    1004
   2007 May 29 21:00   114.0   12.6    40    1005
   2007 May 30 03:00   114.3   12.8    40    1004
   2007 May 30 09:00   114.6   13.0    35    1005
   2007 May 30 15:00   114.6   13.4    35    1005
   2007 May 30 21:00   115.0   13.4    35    1005
   2007 May 31 03:00   115.2   13.2    35    1005
   2007 May 31 09:00   115.5   12.9    35    1005
   2007 May 31 15:00   115.5   13.0    30    1006
   2007 May 31 21:00   116.2   12.7    25    1008
