TS Barbara
   Time (UTC)          W.Long  N.Lat   MPH   Pr(mb)
   2007 May 29 21:00   97.7    14.2    35    1005
   2007 May 30 03:00   97.5    14.2    35    1007
   2007 May 30 09:00   97.4    14.1    35    1006
   2007 May 30 15:00   97.3    14.2    40    1006
   2007 May 30 21:00   97.1    13.3    45    1002
   2007 May 31 03:00   96.9    13.0    45    1003
   2007 May 31 09:00   96.7    13.2    45    1002
   2007 May 31 15:00   95.8    13.1    40    1004
   2007 May 31 21:00   95.5    12.9    40    1004
   2007 Jun 01 03:00   95.2    12.9    35    1005
   2007 Jun 01 09:00   94.7    13.0    35    1005
   2007 Jun 01 15:00   94.5    13.0    45    1003
   2007 Jun 01 21:00   94.0    13.4    50    1000
   2007 Jun 02 03:00   93.0    13.9    50    1000
   2007 Jun 02 09:00   92.7    14.4    50    1000
   2007 Jun 02 15:00   92.4    14.8    50    1000
   2007 Jun 02 21:00   92.2    15.5    30    1006 
